Location,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Used_car_price,Brand,Model,Original_cost,Car_age
Pune,32851,Petrol,Manual,First,19.83,1198,67,7,3.95,datsun,go,6.45,6
Kolkata,30000,Diesel,Automatic,First,14.94,2967,241.4,5,9.8,audi,a4,51.385,13
Pune,66000,Petrol,Manual,Second,17,1197,80,5,2.7,hyundai,i20,9.74,14
Coimbatore,93850,Petrol,Manual,First,14,796,35,5,2.41,maruti,omni,7.55626867,13
Ahmedabad,53000,Petrol,Manual,First,17.71,1197,78.9,5,3.9,toyota,etios,6.41,9
Hyderabad,78000,Diesel,Automatic,Second,14.74,2993,270.9,5,24,jaguar,xf,72.64,12
Delhi,65000,Diesel,Manual,Second,16,2179,140,7,5.75,mahindra,xuv500,18.865,11
Kolkata,40000,Diesel,Automatic,First,22.32,1582,126.32,5,5.25,hyundai,verna,14.254,9
Mumbai,30000,Diesel,Automatic,First,11.36,2755,171.5,7,19.25,toyota,innova,27,6
Coimbatore,38053,Petrol,Manual,First,15.1,1196,73,5,3.91,maruti,eeco,5.13,6
Bangalore,25500,Petrol,Manual,First,25.4,624,37.5,4,2.15,tata,nano,10.75306548,9
Mumbai,56087,Diesel,Automatic,First,22.69,1995,190,5,20.75,bmw,3,54.43,8
Delhi,71088,Petrol,Manual,First,13.5,1799,130,5,3.35,honda,civic,11.79582001,13
Ahmedabad,55000,Diesel,Manual,First,12.99,2494,100.6,7,11.11,toyota,innova,23.61366667,9
Bangalore,32700,Diesel,Automatic,First,23.3,1984,150,5,20,volvo,v40,45.67,9
Coimbatore,39882,Petrol,Automatic,First,19.15,1198,75.94,5,6.55,nissan,micra,9.51,7
Mumbai,128000,Petrol,Automatic,First,10.8,2497,215,5,7,bmw,5,67.24571429,14
Mumbai,55000,Diesel,Manual,First,24.3,1248,88.5,5,7.5,maruti,vitara,9.96,7
Mumbai,102000,Petrol,Manual,Second,17,1086,91.94537954,5,0.85,hyundai,santro,11.28145047,18
Pune,53753,Diesel,Automatic,Second,15,2143,107.3,5,16.75,mercedes-benz,b,63.09554084,9
Kolkata,10250,Diesel,Manual,First,22,1582,126.2,5,10.95,hyundai,verna,14.44,5
Pune,43874,Petrol,Manual,First,18.9,998,67.1,5,2.45,maruti,wagon,5.39,12
Coimbatore,32684,Petrol,Automatic,First,21.9,624,37.48,4,3.23,tata,nano,10.75306548,6
Kolkata,42000,Diesel,Manual,First,12.05,2179,120,8,7.75,mahindra,scorpio,15.5675283,9
Kolkata,28352,Petrol,Automatic,First,11.7,1796,178,5,9.35,mercedes-benz,new,49.49,14
Pune,89900,CNG,Manual,First,26.6,998,58.16,5,3.25,maruti,wagon,5.39,10
Bangalore,47700,Petrol,Manual,Second,10.8,2354,152,5,5.25,honda,cr-v,11.79582001,16
Pune,55000,Diesel,Automatic,First,21.21,1498,103.2,5,7.25,volkswagen,vento,13.81375,8
Kochi,44285,Petrol,Manual,First,20.73,1373,91.1,5,7.47,maruti,ciaz,11.04333333,6
Jaipur,54000,Diesel,Automatic,First,16,2179,140,7,13.25,mahindra,xuv500,18.865,7
Coimbatore,30232,Petrol,Manual,First,21.1,1197,85.8,5,5.81,maruti,ritz,7.55626867,7
Hyderabad,88500,Petrol,Manual,First,24.07,998,67.1,5,2.6,maruti,alto,4.53,9
Kolkata,13372,Petrol,Automatic,First,19,2996,362.07,2,54,mercedes-benz,slc,95.04,6
Kochi,12645,Petrol,Automatic,First,17,1591,121.3,5,11.5,hyundai,verna,13.49,4
Chennai,94385,Petrol,Manual,Second,19.7,796,46.3,5,1.6,maruti,alto,4.53,13
Coimbatore,31821,Diesel,Automatic,First,20.58,1995,143,5,17.22,bmw,1,63.44220807,8
Mumbai,12000,Petrol,Automatic,First,19,1199,88.7,5,6,honda,jazz,9.431666667,8
Delhi,88578,Petrol,Manual,First,13.5,1799,130,5,3.95,honda,civic,11.79582001,11
Kochi,44965,Diesel,Automatic,First,19.27,2143,170,5,17.95,mercedes-benz,new,49.49,9
Kolkata,45044,Diesel,Manual,First,25.8,1498,98.6,5,3.7,honda,amaze,8.662857143,9
Kochi,34204,Petrol,Manual,First,22,1197,81.8,5,5.43,maruti,swift,7.56375,7
Kochi,80759,Petrol,Manual,Third,17,1086,91.94537954,5,1.67,hyundai,santro,11.28145047,15
Coimbatore,91235,Diesel,Manual,First,11.5,2982,171,7,13.49,toyota,fortuner,36.548,11
Chennai,83000,Diesel,Manual,First,21.14,1498,103.52,5,4.75,skoda,rapid,14.132,10
Kochi,41283,Petrol,Manual,First,20.73,1373,91.1,5,9.9,maruti,ciaz,11.04333333,5
Mumbai,23000,Petrol,Automatic,First,11.05,2894,444,4,37,audi,rs5,128,10
Mumbai,48000,Diesel,Automatic,First,21.76,1995,190,5,26.5,bmw,3,60.88,9
Coimbatore,48214,Diesel,Automatic,First,17.11,1968,174.33,5,23.32,audi,a4,51.385,8
Chennai,35000,Diesel,Manual,First,22.9,1248,74,5,6.25,maruti,swift,7.56375,7
Kolkata,35277,Petrol,Automatic,First,7.81,5461,362.9,5,30,mercedes-benz,s,63.09554084,13
Coimbatore,54620,Diesel,Automatic,First,21.66,1498,103.52,5,9.86,skoda,rapid,14.132,7
Pune,136997,Diesel,Automatic,First,17.2,1968,138.1,5,8.5,skoda,superb,34.36333333,11
Kochi,14322,Petrol,Manual,First,21.1,814,55.2,5,4.23,hyundai,eon,11.28145047,4
Jaipur,65634,Diesel,Manual,First,22.07,1199,73.9,5,3.5,volkswagen,polo,9.71375,11
Kolkata,6000,Petrol,Manual,First,20.63,1198,67.06,5,2.5,datsun,go,6.45,7
Kolkata,33280,Petrol,Manual,First,19.4,1198,86.8,5,2.39,honda,brio,6.8825,10
Delhi,29000,Petrol,Automatic,First,14.8,1595,120.7,5,11.25,mercedes-benz,b,63.09554084,10
Kochi,42831,Diesel,Manual,First,26,1498,98.6,5,7.11,honda,city,14.63571429,8
Ahmedabad,90000,Diesel,Manual,First,12.99,2494,100.6,7,10.9,toyota,innova,23.61366667,7
Ahmedabad,24005,Petrol,Manual,First,20.4,1197,81.8,5,6.2,maruti,swift,7.56375,6
Mumbai,32792,Diesel,Manual,First,15.1,2179,140,7,7.9,mahindra,xuv500,18.865,11
Kochi,147898,Diesel,Manual,First,22.7,1498,89.84,5,4.42,ford,ecosport,12.10909091,9
Mumbai,131765,Diesel,Manual,First,13,2982,168.5,7,13.5,toyota,fortuner,36.548,11
Chennai,65000,Diesel,Automatic,First,21.5,1498,108.5,5,6.25,volkswagen,vento,13.81375,10
Jaipur,66123,Diesel,Manual,Second,20,1399,68,5,2.1,ford,figo,7.65,13
Mumbai,41000,Diesel,Automatic,First,15.3,2993,258,5,45,bmw,x5,63.44220807,8
Coimbatore,23550,Diesel,Automatic,First,19.27,2143,167.62,5,33.66,mercedes-benz,new,49.49,6
Bangalore,45000,Petrol,Manual,Second,19.4,1198,86.8,5,3.65,honda,brio,6.8825,11
Delhi,60000,Petrol,Manual,First,20.36,1197,78.9,5,2.75,hyundai,i10,11.28145047,10
Bangalore,44414,Diesel,Automatic,First,17.9,2143,170,5,42.5,mercedes-benz,glc,73.09666667,7
Kolkata,1000,Petrol,Manual,First,18.9,1197,81.86,5,6.5,hyundai,grand,7.39,4
Mumbai,62500,Diesel,Automatic,Second,17.68,1968,174.33,5,19,audi,a6,62.35666667,11
Mumbai,21000,Petrol,Automatic,Second,14.4,1598,103.6,5,4.45,volkswagen,vento,13.81375,10
Jaipur,8525,Diesel,Automatic,Second,16.6,1998,112,5,23,mini,countryman,41.3777551,6
Bangalore,29000,Diesel,Manual,First,22.54,1396,88.73,5,8.35,hyundai,i20,9.74,9
Mumbai,40000,Diesel,Automatic,First,17.68,1968,174.33,5,22.95,audi,a6,62.35666667,9
Kochi,53537,Petrol,Automatic,First,13.7,1798,157.75,5,6.89,skoda,superb,34.36333333,11
Chennai,216000,Diesel,Manual,Second,17.8,1399,68,5,1.45,ford,fiesta,13.57205029,17
Hyderabad,51000,Diesel,Automatic,First,22.48,1995,190,5,33.5,bmw,5,69.47,9
Hyderabad,63000,Diesel,Manual,First,22.07,1199,73.9,5,4.2,volkswagen,polo,9.71375,11
Mumbai,25000,Diesel,Manual,First,19.98,1461,108.5,8,6.75,renault,lodgy,11.74394958,8
Bangalore,37382,Diesel,Automatic,First,13,2143,201.1,5,32,mercedes-benz,e-class,82.61833333,9
Kochi,24773,Petrol,Manual,First,21.4,1197,83.1,5,7.5,maruti,baleno,8.78,6
Delhi,62000,Diesel,Manual,First,22.32,1582,126.32,5,4.6,hyundai,verna,14.254,11
Kochi,52340,Petrol,Manual,First,19.81,1086,68.05,5,4.04,hyundai,i10,11.28145047,6
Kochi,56739,Diesel,Manual,First,15.4,1997,120,7,10.31,mahindra,scorpio,15.5675283,7
Coimbatore,36091,Diesel,Automatic,First,12.7,2179,187.7,5,55.76,land,rover,104.102,5
Chennai,120000,Diesel,Manual,First,20,1399,68,5,2.6,ford,figo,7.65,13
Mumbai,33000,Diesel,Manual,First,25.47,1248,88.5,7,8.5,maruti,ertiga,12.74,7
Ahmedabad,60006,Petrol,Manual,First,0,1508.686567,108.990209,5,2.95,honda,city,14.63571429,16
Kolkata,52000,Diesel,Manual,First,25.8,1498,98.6,5,3.5,honda,amaze,8.662857143,9
Jaipur,43571,Petrol,Manual,First,20.36,1197,78.9,5,3.55,hyundai,i10,11.28145047,8
Kolkata,50000,Diesel,Manual,First,25.8,1498,98.6,5,3.25,honda,amaze,8.662857143,10
Hyderabad,113000,Diesel,Manual,First,17.5,1896,106,5,4.5,skoda,laura,25.2041791,15
Delhi,90000,Diesel,Manual,First,19.87,1461,83.8,5,5.35,renault,duster,13.87,9
Chennai,29000,Diesel,Manual,Second,17.45,1493,100,7,6.5,mahindra,nuvosport,10.52,6
Mumbai,20000,Diesel,Manual,First,24.3,1248,88.5,5,9,maruti,vitara,11.98,7
Kochi,61012,Petrol,Manual,First,18.6,1197,81.83,5,6,hyundai,i20,9.74,7
Jaipur,87459,Petrol,Manual,First,14.7,1390,85,5,2.75,skoda,fabia,25.2041791,14
Pune,70500,Petrol,Manual,First,15.64,1193,64.1,5,1.5,tata,indigo,10.75306548,13
Delhi,64103,Diesel,Automatic,First,15.73,1968,174.33,5,19.9,audi,q3,46.42,8
Mumbai,76000,Petrol,Automatic,First,14.7,1798,177.5,5,10,skoda,octavia,28.37,9
Delhi,104000,Diesel,Manual,First,23.59,1364,67.06,5,3,toyota,etios,7.432,9
Kolkata,42001,Petrol,Manual,First,16.1,1150.991513,74.20637807,5,2.11,maruti,swift,7.56375,13
Kochi,37245,Petrol,Automatic,First,14.8,1595,120.7,5,11.96,mercedes-benz,b,63.09554084,9
Kolkata,45000,Diesel,Manual,First,27.4,1498,98.6,5,3.25,honda,amaze,8.54,10
Jaipur,117837,Diesel,Manual,Second,22.32,1582,126.32,5,4.75,hyundai,verna,14.254,11
Mumbai,30000,Diesel,Manual,First,20.46,1461,83.8,5,5.95,renault,duster,13.87,9
Delhi,27057,Petrol,Manual,Second,15.29,1591,121.3,5,8.15,hyundai,creta,15.19333333,8
Mumbai,8500,Petrol,Automatic,First,20.51,998,67,5,4.22,maruti,wagon,5.39,7
Kolkata,30500,Petrol,Automatic,First,11.74,1796,186,5,10.5,mercedes-benz,new,49.49,13
Delhi,56000,Diesel,Automatic,First,11.8,2967,246.7,5,45,audi,a8,63.78077684,11
Pune,44000,Petrol,Manual,Second,19.81,1086,68.05,5,2.9,hyundai,i10,11.28145047,11
Mumbai,10500,Petrol,Automatic,First,14.3,1598,103.52,5,8.9,skoda,rapid,14.132,6
Hyderabad,26000,Petrol,Automatic,First,14.67,1798,177.46,5,26,skoda,superb,33.58,6
Coimbatore,25166,Petrol,Manual,First,17.19,1197,81.86,5,8.22,hyundai,i20,9.74,5
Kolkata,64000,Diesel,Manual,Second,25.8,1498,98.6,5,3.5,honda,amaze,8.662857143,9
Chennai,61000,Petrol,Manual,Second,18.9,998,67.1,5,1.25,maruti,wagon,5.39,19
Hyderabad,107000,Diesel,Manual,First,21.03,1461,65,5,3.7,mahindra,verito,9.12,10
Coimbatore,29161,Diesel,Automatic,First,19.27,2143,167.62,5,39.41,mercedes-benz,new,49.49,5
Kolkata,32000,Petrol,Manual,First,22.5,998,67.04,5,2.65,maruti,wagon,5.29,10
Coimbatore,46173,Diesel,Manual,Second,19.01,1461,108.5,5,8.92,nissan,terrano,15.855,8
Delhi,47000,Diesel,Manual,First,17.8,1248,74.20637807,5,4.1,maruti,swift,7.56375,10
Kochi,26327,Petrol,Automatic,First,16.82,1998,189.08,4,35.67,mini,cooper,44.28,6
Bangalore,70436,Diesel,Manual,First,0,1498,99,5,3.6,ford,figo,7.65,8
Jaipur,200000,Diesel,Manual,Second,17.2,1396,53.5,5,0.85,tata,indica,10.75306548,16
Mumbai,45000,Diesel,Manual,First,22.07,1199,73.9,5,3.6,volkswagen,polo,9.71375,11
Hyderabad,64000,Diesel,Manual,First,22.9,1248,74,5,6.8,maruti,swift,7.56375,7
Kolkata,41284,Diesel,Manual,First,20,1399,68.05,5,2.5,ford,figo,7.65,11
Kochi,14165,Diesel,Automatic,First,11.36,2755,171.5,7,19.64,toyota,innova,20.74,4
Mumbai,67000,Diesel,Automatic,Second,11.72,2199,194.3,7,7,hyundai,santa,11.28145047,12
Kolkata,32572,Petrol,Manual,First,17.4,1497,117.3,5,3.87,honda,city,11.74,12
Kochi,14960,Petrol,Manual,First,18.6,1197,81.83,5,6.27,hyundai,i20,9.74,5
Kochi,55980,Diesel,Automatic,First,19.27,2143,167.62,5,18.12,mercedes-benz,new,49.49,8
Kochi,56847,Diesel,Manual,First,22.54,1396,88.73,5,7.2,hyundai,i20,9.74,8
Coimbatore,121374,Diesel,Manual,First,12.99,2494,100.6,7,14.3,toyota,innova,23.61366667,8
Chennai,52000,Diesel,Manual,First,20.77,1248,88.76,7,6.9,maruti,ertiga,11.61857143,10
Mumbai,118000,Diesel,Manual,First,12.8,2494,102,7,10.75,toyota,innova,23.61366667,9
Mumbai,72000,Petrol,Manual,Third,17,1086,91.94537954,5,0.95,hyundai,santro,11.28145047,16
Kochi,33915,Petrol,Manual,First,17.8,1497,117.3,5,8.09,honda,city,14.63571429,7
Ahmedabad,82002,Diesel,Automatic,First,17.05,1995,184,5,18.5,bmw,x1,49.296,9
Mumbai,33000,Diesel,Manual,First,24,1120,70,5,4.75,hyundai,grand,7.2952,6
Chennai,34000,Diesel,Manual,First,28.09,1248,88.5,5,8.45,maruti,ciaz,11.04333333,7
Kolkata,55000,Diesel,Manual,First,20.5,1598,103.6,5,3.5,skoda,rapid,14.132,11
Kochi,160538,Diesel,Manual,First,13.1,1493,82,5,1.8,hyundai,accent,11.28145047,17
Jaipur,60000,Diesel,Manual,Second,19.91,1498,103.6,5,3.7,volkswagen,polo,9.71375,9
Coimbatore,49575,Petrol,Manual,First,18.7,1199,88.7,5,7.17,honda,jazz,9.431666667,6
Jaipur,83000,Petrol,Manual,First,19.81,1086,68.05,5,1.75,hyundai,i10,11.28145047,13
Kochi,51346,Diesel,Automatic,First,16.38,1995,183,5,21.99,hyundai,tucson,25.75,5
Pune,43000,Diesel,Manual,First,13.68,2393,147.8,7,18.65,toyota,innova,25.52,6
Jaipur,35000,Petrol,Manual,Third,19.7,796,35,5,1.85,maruti,omni,7.55626867,12
Coimbatore,27872,Petrol,Manual,Second,20.4,1197,81.8,5,5.95,maruti,swift,7.56375,6
Mumbai,16514,Petrol,Manual,First,18.9,1197,82,5,3.75,hyundai,grand,7.2952,9
Pune,120000,Diesel,Manual,First,22.9,1248,74,5,3.75,maruti,swift,7.56375,11
Hyderabad,143275,Diesel,Manual,First,22,1582,126.2,5,2.6,hyundai,verna,14.07,15
Hyderabad,99000,Petrol,Manual,First,0,1086,91.94537954,5,1.75,hyundai,santro,11.28145047,17
Mumbai,52000,Petrol,Manual,First,17,1197,80,5,2.8,hyundai,i20,9.74,13
Coimbatore,29819,Diesel,Automatic,First,11.57,2987,254.79,5,61.29,mercedes-benz,gle,95.13,6
Bangalore,57000,Diesel,Manual,Second,15.8,2148,170,5,18,mercedes-benz,new,49.49,9
Hyderabad,88500,Diesel,Manual,First,23.2,1248,73.94,5,4.35,maruti,ritz,7.55626867,9
Bangalore,28000,Diesel,Manual,First,19.67,1582,126.2,5,13.75,hyundai,creta,15.19333333,7
Pune,67000,Petrol,Manual,First,19,998,66.1,5,2,maruti,a-star,7.55626867,13
Delhi,26000,Diesel,Manual,First,19.64,1461,108.45,5,10,renault,duster,13.87,7
Delhi,120000,Diesel,Manual,First,17.8,1248,76,5,1.65,fiat,grande,9.5,13
Coimbatore,51982,Diesel,Automatic,First,16.55,2993,258,5,45.77,bmw,x3,69.59,6
Bangalore,36000,Petrol,Manual,Second,20.36,1197,78.9,5,3.25,hyundai,i10,11.28145047,13
Pune,47000,Diesel,Manual,First,12.8,2494,102,7,12.8,toyota,innova,23.61366667,7
Mumbai,60000,Petrol,Manual,Third,17.3,993,60,5,0.55,maruti,zen,7.55626867,21
Hyderabad,31025,Diesel,Manual,First,28.4,1248,74,5,7.15,maruti,swift,7.56375,5
Pune,105000,Diesel,Manual,Second,12.05,2179,120,8,7,mahindra,scorpio,15.5675283,10
Pune,121900,Diesel,Manual,First,22.95,1248,74,5,3.75,tata,zest,8.34,6
Mumbai,22695,Petrol,Manual,First,18.88,999,123.24,5,8.5,ford,ecosport,12.10909091,6
