,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Brand,Model,Variant,New_Price1,Price Range
13,land rover range rover 2.2l pure,Delhi,2014,72000,Diesel,Automatic,First,12.7,2179.0,187.7,5,27.0,land,rover,range rover 2.2l pure,104.102,1.95
14,land rover freelander 2 td4 se,Pune,2012,85000,Diesel,Automatic,Second,0.0,2179.0,115.0,5,17.5,land,rover,freelander 2 td4 se,104.102,1.95
15,mitsubishi pajero sport 4x4,Delhi,2014,110000,Diesel,Manual,First,13.5,2477.0,175.56,7,15.0,mitsubishi,pajero,sport 4x4,32.01,₹18.79 - 21.87 lakh
16,honda amaze s i-dtech,Kochi,2016,58950,Diesel,Manual,First,25.8,1498.0,98.6,5,5.4,honda,amaze,s i-dtech,8.662857143,₹ 6.91 - 9.50 lakh
17,maruti swift ddis vdi,Jaipur,2017,25000,Diesel,Manual,First,28.4,1248.0,74.0,5,5.99,maruti,swift,ddis vdi,7.56375,4.49
18,renault duster 85ps diesel rxl plus,Kochi,2014,77469,Diesel,Manual,First,20.45,1461.0,83.8,5,6.34,renault,duster,85ps diesel rxl plus,13.87,₹8.59 - 14.25 lakh
19,mercedes-benz new c-class c 220 cdi be avantgare,Bangalore,2014,78500,Diesel,Automatic,First,14.84,2143.0,167.62,5,28.0,mercedes-benz,new,c-class c 220 cdi be avantgare,49.49,5.6
20,bmw 3 series 320d,Kochi,2014,32982,Diesel,Automatic,First,22.69,1995.0,190.0,5,18.55,bmw,3,series 320d,47.87,5.6
21,audi a6 2011-2015 35 tfsi technology,Mumbai,2015,55985,Petrol,Automatic,First,13.53,1984.0,177.01,5,23.5,audi,a6,2011-2015 35 tfsi technology,62.35666667,₹ 61.41 - 67.53 lakh
22,hyundai i20 1.2 magna,Kolkata,2010,45807,Petrol,Manual,First,18.5,1197.0,80.0,5,1.87,hyundai,i20,1.2 magna,9.74,₹ 7.19 - 11.83 lakh
23,volkswagen vento petrol highline at,Kolkata,2010,33000,Petrol,Automatic,First,14.4,1598.0,103.6,5,2.85,volkswagen,vento,petrol highline at,13.81375,₹8.69 - 14.79 lakh
24,honda city corporate edition,Mumbai,2012,51920,Petrol,Manual,First,16.8,1497.0,116.3,5,4.25,honda,city,corporate edition,14.63571429,₹ 11.52 - 16.00 lakh
25,nissan micra diesel xv,Hyderabad,2012,54000,Diesel,Manual,First,23.08,1461.0,63.1,5,4.25,nissan,micra,diesel xv,8.59,₹6.63 - 8.13 lakh
26,maruti alto k10 2010-2014 vxi,Hyderabad,2013,54000,Petrol,Manual,Second,20.92,998.0,67.1,5,2.75,maruti,alto,k10 2010-2014 vxi,4.53,5.99
27,honda wrv i-vtec vx,Kochi,2018,37430,Petrol,Manual,First,17.5,1199.0,88.7,5,9.9,honda,wrv,i-vtec vx,10.57,₹8.16 - 10.56 lakh
28,toyota innova 2.5 v diesel 7-seater,Mumbai,2007,262000,Diesel,Manual,Fourth & Above,12.8,2494.0,102.0,7,4.0,toyota,innova,2.5 v diesel 7-seater,23.61366667,₹13.22 - 16.81 lakh
29,renault duster 110ps diesel rxz pack,Bangalore,2013,62000,Diesel,Manual,First,19.01,1461.0,108.45,5,7.75,renault,duster,110ps diesel rxz pack,13.87,₹8.59 - 14.25 lakh
30,toyota corolla altis g,Delhi,2012,87615,Petrol,Manual,First,14.53,1798.0,138.1,5,6.75,toyota,corolla,altis g,20.97,₹9.01 - 12.39 lakh
31,mahindra ssangyong rexton rx7,Bangalore,2013,72000,Diesel,Automatic,Second,11.18,2696.0,184.0,7,12.5,mahindra,ssangyong,rexton rx7,15.5675283,23.5
32,audi a6 2.7 tdi,Kolkata,2010,35000,Diesel,Automatic,First,12.4,2698.0,179.5,5,11.5,audi,a6,2.7 tdi,62.35666667,₹ 61.41 - 67.53 lakh
33,volkswagen vento 1.6 highline,Coimbatore,2014,55431,Petrol,Manual,Second,16.09,1598.0,103.5,5,6.98,volkswagen,vento,1.6 highline,12.33,₹8.69 - 14.79 lakh
34,maruti wagon r lxi bsiii,Jaipur,2009,83816,Petrol,Manual,Second,14.0,1061.0,64.0,5,1.85,maruti,wagon,r lxi bsiii,5.39,2.85
35,maruti vitara brezza zdi plus,Kochi,2018,50075,Diesel,Manual,First,24.3,1248.0,88.5,5,8.63,maruti,vitara,brezza zdi plus,11.12,2.85
36,mahindra kuv 100 mfalcon g80 k6 5str aw,Delhi,2017,52000,Petrol,Manual,First,18.15,1198.0,82.0,5,4.85,mahindra,kuv,100 mfalcon g80 k6 5str aw,7.35,2.85
37,mercedes-benz m-class ml 350 cdi,Pune,2013,85000,Diesel,Automatic,First,11.74,2987.0,254.8,5,28.0,mercedes-benz,m-class,ml 350 cdi,63.09554084,₹56.74 lakh - 2.31 crore
38,volkswagen polo diesel trendline 1.2l,Chennai,2013,62000,Diesel,Manual,First,22.07,1199.0,73.9,5,5.0,volkswagen,polo,diesel trendline 1.2l,9.71375,₹5.87 - 10.25 lakh
39,maruti alto lxi,Delhi,2008,90000,Petrol,Manual,Second,19.7,796.0,46.3,5,1.25,maruti,alto,lxi,4.53,4.25
40,tata nano lx se,Kochi,2014,19698,Petrol,Manual,First,25.4,624.0,37.5,4,1.53,tata,nano,lx se,10.75306548,₹2.05 - 2.97 lakh
41,mahindra kuv 100 mfalcon d75 k8 dual tone,Coimbatore,2017,22033,Diesel,Manual,First,25.32,1198.0,77.0,6,5.58,mahindra,kuv,100 mfalcon d75 k8 dual tone,7.35,2.75
42,hyundai i20 magna optional 1.2,Kochi,2014,35487,Petrol,Manual,First,18.5,1197.0,82.9,5,4.74,hyundai,i20,magna optional 1.2,9.74,₹ 7.19 - 11.83 lakh
43,hyundai elantra 2.0 sx option at,Bangalore,2014,46374,Petrol,Automatic,First,14.62,1999.0,149.92,5,8.85,hyundai,elantra,2.0 sx option at,23.64,₹15.90 - 21.13 lakh
44,toyota corolla altis g at,Mumbai,2016,52001,Petrol,Automatic,First,14.28,1798.0,138.03,5,10.11,toyota,corolla,altis g at,20.97,₹9.01 - 12.39 lakh
45,hyundai elantra crdi,Ahmedabad,2008,58005,Diesel,Manual,Second,14.9,1991.0,112.2,5,4.25,hyundai,elantra,crdi,22.65,₹15.90 - 21.13 lakh
46,toyota innova crysta 2.7 gx mt,Bangalore,2012,70704,Petrol,Manual,First,11.25,2694.0,163.7,7,10.95,toyota,innova,crysta 2.7 gx mt,18.64,₹13.22 - 16.81 lakh
47,hyundai xcent 1.1 crdi s,Jaipur,2014,75000,Diesel,Manual,First,24.4,1120.0,71.0,5,3.85,hyundai,xcent,1.1 crdi s,8.274,₹5.81 - 8.80 lakh
48,mahindra thar crde ac,Jaipur,2012,75800,Diesel,Manual,Second,16.55,2498.0,105.0,6,5.5,mahindra,thar,crde ac,11.39,₹ 9.99 - 16.49 lakh
49,audi a4 2.0 tdi 177 bhp premium plus,Kochi,2015,13648,Diesel,Automatic,First,17.11,1968.0,174.33,5,21.43,audi,a4,2.0 tdi 177 bhp premium plus,51.385,₹ 43.81 - 51.85 lakh
50,maruti swift ldi,Delhi,2014,52000,Diesel,Manual,First,22.9,1248.0,74.0,5,4.25,maruti,swift,ldi,7.56375,1.85
51,maruti swift ldi bsiv,Kolkata,2014,53000,Diesel,Manual,First,17.8,1248.0,75.0,5,3.3,maruti,swift,ldi bsiv,7.56375,1.85
52,maruti swift vdi,Delhi,2013,65650,Diesel,Manual,First,28.4,1248.0,74.0,5,3.85,maruti,swift,vdi,7.56375,1.85
53,hyundai grand i10 sportz,Chennai,2015,54000,Petrol,Manual,Third,18.9,1197.0,82.0,5,3.6,hyundai,grand,i10 sportz,7.2952,1.85
54,volkswagen vento 2013-2015 1.6 comfortline,Kolkata,2015,39000,Petrol,Manual,First,15.04,1598.0,103.2,5,3.99,volkswagen,vento,2013-2015 1.6 comfortline,13.81375,₹8.69 - 14.79 lakh
55,renault kwid rxt,Kochi,2017,16542,Petrol,Manual,First,25.17,799.0,53.3,5,3.3,renault,kwid,rxt,4.834285714,₹ 4.70 - 6.45 lakh
56,hyundai i10 asta,Kolkata,2010,32000,Petrol,Manual,First,20.36,1197.0,78.9,5,2.07,hyundai,i10,asta,11.28145047,₹3.82 - 6.31 lakh
57,nissan x-trail slx at,Hyderabad,2010,121812,Diesel,Automatic,First,13.29,1995.0,147.6,5,7.75,nissan,x-trail,slx at,11.57734694,28.0
58,maruti zen estilo vxi bsiii,Hyderabad,2010,39300,Petrol,Manual,First,18.2,998.0,67.1,5,2.25,maruti,zen,estilo vxi bsiii,7.55626867,28.0
59,toyota innova crysta 2.4 gx mt 8s,Mumbai,2017,22000,Diesel,Manual,First,13.68,2393.0,147.8,8,16.5,toyota,innova,crysta 2.4 gx mt 8s,19.34,₹13.22 - 16.81 lakh
60,ford figo diesel titanium,Bangalore,2010,72000,Diesel,Manual,First,20.0,1399.0,68.0,5,2.75,ford,figo,diesel titanium,7.65,₹5.23 - 8.37 lakh
61,mercedes-benz new c-class c 200 cgi avantgarde,Delhi,2015,58000,Petrol,Automatic,First,11.74,1796.0,186.0,5,26.7,mercedes-benz,new,c-class c 200 cgi avantgarde,49.49,1.25
62,mercedes-benz new c-class 200 cdi classic,Pune,2011,65000,Diesel,Manual,Second,15.8,2148.0,170.0,5,10.0,mercedes-benz,new,c-class 200 cdi classic,49.49,1.25
63,tata indica v2 els,Chennai,2016,178000,Diesel,Manual,First,25.0,1396.0,69.0,5,2.5,tata,indica,v2 els,10.75306548,₹4.05 - 5.59 lakh
64,audi a4 2.0 tdi multitronic,Jaipur,2012,65664,Diesel,Automatic,First,16.55,1968.0,140.0,5,13.5,audi,a4,2.0 tdi multitronic,51.385,₹ 43.81 - 51.85 lakh
65,honda city zx cvt,Mumbai,2007,63000,Petrol,Automatic,Second,16.4,1497.0,78.0,5,1.85,honda,city,zx cvt,14.63571429,₹ 11.52 - 16.00 lakh
66,mercedes-benz c-class progressive c 220d,Coimbatore,2019,15369,Diesel,Automatic,First,0.0,1950.0,194.0,5,35.67,mercedes-benz,c-class,progressive c 220d,49.14,₹ 57.20 - 63.00 lakh
67,maruti ertiga shvs vdi,Pune,2016,63000,Diesel,Manual,First,24.52,1248.0,88.5,7,8.15,maruti,ertiga,shvs vdi,11.61857143,8.85
68,hyundai creta 1.4 e plus diesel,Mumbai,2018,13000,Diesel,Manual,First,22.1,1396.0,88.7,5,10.5,hyundai,creta,1.4 e plus diesel,11.81,₹ 10.84 - 19.13 lakh
69,porsche cayenne 2009-2014 turbo,Mumbai,2008,73000,Petrol,Automatic,First,8.5,4806.0,500.0,5,14.5,porsche,cayenne,2009-2014 turbo,136.0,₹ 1.26 - 1.93 crore
70,mahindra xuv500 w8 4wd,Mumbai,2015,55729,Diesel,Manual,First,15.1,2179.0,140.0,7,9.65,mahindra,xuv500,w8 4wd,18.865,₹12.37 - 20.11 lakh
71,hyundai i10 sportz 1.2 at,Kochi,2012,45178,Petrol,Automatic,First,16.95,1197.0,78.9,5,3.48,hyundai,i10,sportz 1.2 at,11.28145047,₹3.82 - 6.31 lakh
72,nissan terrano xv d pre,Kochi,2015,56066,Diesel,Manual,First,19.64,1461.0,108.5,5,6.92,nissan,terrano,xv d pre,16.65,₹10.00 - 14.65 lakh
73,honda brio vx at,Coimbatore,2016,37300,Petrol,Automatic,Second,16.5,1198.0,86.8,5,6.46,honda,brio,vx at,6.8825,₹4.82 - 6.90 lakh
74,audi a6 2.0 tdi design edition,Delhi,2014,56000,Diesel,Automatic,Second,18.53,1968.0,187.74,5,29.5,audi,a6,2.0 tdi design edition,62.35666667,₹ 61.41 - 67.53 lakh
75,ford fiesta 1.4 sxi tdci,Jaipur,2008,111111,Diesel,Manual,First,17.8,1399.0,96.20556886,5,2.0,ford,fiesta,1.4 sxi tdci,13.57205029,₹8.63 - 10.31 lakh
76,toyota innova 2.0 g1,Chennai,2006,230000,Petrol,Manual,Third,12.4,1998.0,132.0,8,4.5,toyota,innova,2.0 g1,23.61366667,₹13.22 - 16.81 lakh
77,toyota innova 2.5 vx 7 str bsiv,Hyderabad,2012,104000,Diesel,Manual,First,12.8,2494.0,102.0,7,11.75,toyota,innova,2.5 vx 7 str bsiv,23.61366667,₹13.22 - 16.81 lakh
78,hyundai santro xing xl,Hyderabad,2005,87591,Petrol,Manual,First,0.0,1086.0,91.94537954,5,1.3,hyundai,santro,xing xl,11.28145047,₹3.91 - 6.45 lakh
79,maruti swift vdi,Jaipur,2012,95100,Diesel,Manual,First,22.9,1248.0,74.0,5,3.75,maruti,swift,vdi,7.56375,3.99
80,tata zest revotron 1.2t xe,Pune,2017,70000,Petrol,Manual,First,17.57,1193.0,88.7,5,4.5,tata,zest,revotron 1.2t xe,6.67,₹5.82 - 9.87 lakh
81,honda amaze sx i-vtec,Kochi,2016,54944,Petrol,Manual,First,18.0,1198.0,86.7,5,4.82,honda,amaze,sx i-vtec,8.662857143,₹ 6.91 - 9.50 lakh
82,ford figo diesel zxi,Hyderabad,2012,70337,Diesel,Manual,First,20.0,1399.0,68.0,5,2.8,ford,figo,diesel zxi,7.65,₹5.23 - 8.37 lakh
83,maruti ritz vdi,Jaipur,2013,99638,Diesel,Manual,First,23.2,1248.0,73.94,5,3.11,maruti,ritz,vdi,7.55626867,7.75
84,honda city i vtec e,Delhi,2009,52000,Petrol,Manual,First,17.8,1497.0,117.3,5,3.25,honda,city,i vtec e,14.63571429,₹ 11.52 - 16.00 lakh
85,bmw 5 series 2003-2012 525d,Delhi,2011,75000,Diesel,Automatic,Second,16.73,1995.0,218.0,5,13.9,bmw,5,series 2003-2012 525d,67.24571429,2.25
86,hyundai i10 sportz 1.2,Pune,2009,95980,Petrol,Manual,First,20.36,1197.0,78.9,5,2.25,hyundai,i10,sportz 1.2,11.28145047,₹3.82 - 6.31 lakh
87,hyundai grand i10 sportz,Bangalore,2016,16000,Petrol,Manual,First,18.9,1197.0,82.0,5,5.75,hyundai,grand,i10 sportz,7.2952,16.5
88,hyundai santro xing xo,Hyderabad,2007,73745,Petrol,Manual,First,17.0,1086.0,91.94537954,5,2.1,hyundai,santro,xing xo,11.28145047,₹3.91 - 6.45 lakh
89,honda amaze sx i-vtec,Mumbai,2016,18949,Petrol,Manual,First,17.8,1198.0,86.7,5,5.0,honda,amaze,sx i-vtec,8.662857143,₹ 6.91 - 9.50 lakh
90,toyota fortuner 4x2 manual,Delhi,2014,107000,Diesel,Manual,First,13.0,2982.0,168.5,7,16.5,toyota,fortuner,4x2 manual,36.548,₹ 32.58 - 50.34 lakh
91,audi a6 2011-2015 35 tdi premium,Coimbatore,2018,48367,Diesel,Automatic,First,17.68,1968.0,174.33,5,39.58,audi,a6,2011-2015 35 tdi premium,62.35666667,₹ 61.41 - 67.53 lakh
92,ford ecosport 1.5 dv5 mt titanium optional,Delhi,2013,57000,Diesel,Manual,First,22.7,1498.0,89.84,5,5.5,ford,ecosport,1.5 dv5 mt titanium optional,12.10909091,₹7.91 - 11.70 lakh
93,mahindra xuv500 w8 2wd,Delhi,2014,58000,Diesel,Manual,First,15.1,2179.0,140.0,7,8.1,mahindra,xuv500,w8 2wd,18.865,₹12.37 - 20.11 lakh
94,honda amaze sx i-dtec,Kolkata,2015,30000,Diesel,Manual,First,25.8,1498.0,98.6,5,3.5,honda,amaze,sx i-dtec,8.662857143,₹ 6.91 - 9.50 lakh
95,volkswagen polo diesel highline 1.2l,Kolkata,2013,34212,Diesel,Manual,First,22.07,1199.0,73.9,5,2.79,volkswagen,polo,diesel highline 1.2l,9.71375,₹5.87 - 10.25 lakh
96,hyundai verna transform sx vgt crdi,Ahmedabad,2010,70002,Diesel,Manual,First,16.2,1493.0,110.0,5,3.45,hyundai,verna,transform sx vgt crdi,14.254,₹ 10.90 - 17.38 lakh
97,maruti wagon r vxi bs iv,Bangalore,2016,62000,Petrol,Manual,First,18.9,998.0,67.1,5,4.45,maruti,wagon,r vxi bs iv,5.39,10.5
98,volkswagen polo petrol highline 1.6l,Delhi,2010,62001,Petrol,Manual,First,15.26,1598.0,103.5,5,2.65,volkswagen,polo,petrol highline 1.6l,9.71375,₹5.87 - 10.25 lakh
99,hyundai i20 1.4 crdi sportz,Pune,2011,78958,Diesel,Manual,Second,23.0,1396.0,90.0,5,3.8,hyundai,i20,1.4 crdi sportz,9.74,₹ 7.19 - 11.83 lakh
100,hyundai i20 asta 1.2,Mumbai,2014,30180,Petrol,Manual,First,18.5,1197.0,82.85,5,4.65,hyundai,i20,asta 1.2,9.74,₹ 7.19 - 11.83 lakh
101,datsun go plus t petrol,Pune,2017,32851,Petrol,Manual,First,19.83,1198.0,67.0,7,3.95,datsun,go,plus t petrol,6.45,₹3.75 - 6.51 lakh
102,audi a4 3.0 tdi quattro premium,Kolkata,2010,30000,Diesel,Automatic,First,14.94,2967.0,241.4,5,9.8,audi,a4,3.0 tdi quattro premium,51.385,₹ 43.81 - 51.85 lakh
103,hyundai i20 2015-2017 asta,Pune,2009,66000,Petrol,Manual,Second,17.0,1197.0,80.0,5,2.7,hyundai,i20,2015-2017 asta,9.74,₹ 7.19 - 11.83 lakh
104,maruti omni 5 str std,Coimbatore,2010,93850,Petrol,Manual,First,14.0,796.0,35.0,5,2.41,maruti,omni,5 str std,7.55626867,29.5
105,toyota etios liva 1.2 g,Ahmedabad,2014,53000,Petrol,Manual,First,17.71,1197.0,78.9,5,3.9,toyota,etios,liva 1.2 g,6.41,₹6.51 - 9.02 lakh
106,jaguar xf 3.0 litre s premium luxury,Hyderabad,2011,78000,Diesel,Automatic,Second,14.74,2993.0,270.9,5,24.0,jaguar,xf,3.0 litre s premium luxury,72.64,₹ 71.60 - 76.00 lakh
107,mahindra xuv500 w8 2wd,Delhi,2012,65000,Diesel,Manual,Second,16.0,2179.0,140.0,7,5.75,mahindra,xuv500,w8 2wd,18.865,₹12.37 - 20.11 lakh
108,hyundai verna 1.6 sx crdi (o) at,Kolkata,2014,40000,Diesel,Automatic,First,22.32,1582.0,126.32,5,5.25,hyundai,verna,1.6 sx crdi (o) at,14.254,₹ 10.90 - 17.38 lakh
109,toyota innova crysta 2.8 zx at,Mumbai,2017,30000,Diesel,Automatic,First,11.36,2755.0,171.5,7,19.25,toyota,innova,crysta 2.8 zx at,27.0,₹13.22 - 16.81 lakh
110,maruti eeco 5 seater ac,Coimbatore,2017,38053,Petrol,Manual,First,15.1,1196.0,73.0,5,3.91,maruti,eeco,5 seater ac,5.13,3.75
111,tata nano twist xt,Bangalore,2014,25500,Petrol,Manual,First,25.4,624.0,37.5,4,2.15,tata,nano,twist xt,10.75306548,₹2.05 - 2.97 lakh
112,bmw 3 series 320d luxury line,Mumbai,2015,56087,Diesel,Automatic,First,22.69,1995.0,190.0,5,20.75,bmw,3,series 320d luxury line,54.43,4.5
113,honda civic 2006-2010 1.8 v mt,Delhi,2010,71088,Petrol,Manual,First,13.5,1799.0,130.0,5,3.35,honda,civic,2006-2010 1.8 v mt,11.79582001,₹17.95 - 22.36 lakh
114,toyota innova 2.5 vx (diesel) 7 seater,Ahmedabad,2014,55000,Diesel,Manual,First,12.99,2494.0,100.6,7,11.11,toyota,innova,2.5 vx (diesel) 7 seater,23.61366667,₹13.22 - 16.81 lakh
115,volvo v40 cross country d3,Bangalore,2014,32700,Diesel,Automatic,First,23.3,1984.0,150.0,5,20.0,volvo,v40,cross country d3,45.67,₹27.70 - 31.92 lakh
116,nissan micra xv cvt,Coimbatore,2016,39882,Petrol,Automatic,First,19.15,1198.0,75.94,5,6.55,nissan,micra,xv cvt,9.51,₹6.63 - 8.13 lakh
117,bmw 5 series 2010-2013 525i,Mumbai,2009,128000,Petrol,Automatic,First,10.8,2497.0,215.0,5,7.0,bmw,5,series 2010-2013 525i,67.24571429,3.25
118,maruti vitara brezza vdi,Mumbai,2016,55000,Diesel,Manual,First,24.3,1248.0,88.5,5,7.5,maruti,vitara,brezza vdi,9.96,3.25
119,hyundai santro xing xl erlx euro iii,Mumbai,2005,102000,Petrol,Manual,Second,17.0,1086.0,91.94537954,5,0.85,hyundai,santro,xing xl erlx euro iii,11.28145047,₹3.91 - 6.45 lakh
120,mercedes-benz b class b200 cdi,Pune,2014,53753,Diesel,Automatic,Second,15.0,2143.0,107.3,5,16.75,mercedes-benz,b,class b200 cdi,63.09554084,13.9
121,hyundai verna crdi 1.6 sx option,Kolkata,2018,10250,Diesel,Manual,First,22.0,1582.0,126.2,5,10.95,hyundai,verna,crdi 1.6 sx option,14.44,₹ 10.90 - 17.38 lakh
122,maruti wagon r lxi bs iv,Pune,2011,43874,Petrol,Manual,First,18.9,998.0,67.1,5,2.45,maruti,wagon,r lxi bs iv,5.39,2.25
123,tata nano xta,Coimbatore,2017,32684,Petrol,Automatic,First,21.9,624.0,37.48,4,3.23,tata,nano,xta,10.75306548,₹2.05 - 2.97 lakh
124,mahindra scorpio vlx,Kolkata,2014,42000,Diesel,Manual,First,12.05,2179.0,120.0,8,7.75,mahindra,scorpio,vlx,15.5675283,₹ 12.74 - 24.05 lakh
125,mercedes-benz new c-class 200 k at,Kolkata,2009,28352,Petrol,Automatic,First,11.7,1796.0,178.0,5,9.35,mercedes-benz,new,c-class 200 k at,49.49,2.1
126,maruti wagon r lxi cng,Pune,2013,89900,CNG,Manual,First,26.6,998.0,58.16,5,3.25,maruti,wagon,r lxi cng,5.39,2.1
127,honda cr-v 2.4 mt,Bangalore,2007,47700,Petrol,Manual,Second,10.8,2354.0,152.0,5,5.25,honda,cr-v,2.4 mt,11.79582001,₹28.34 - 32.84 lakh
128,volkswagen vento 1.5 tdi comfortline at,Pune,2015,55000,Diesel,Automatic,First,21.21,1498.0,103.2,5,7.25,volkswagen,vento,1.5 tdi comfortline at,13.81375,₹8.69 - 14.79 lakh
129,maruti ciaz vxi plus,Kochi,2017,44285,Petrol,Manual,First,20.73,1373.0,91.1,5,7.47,maruti,ciaz,vxi plus,11.04333333,16.5
130,mahindra xuv500 at w10 fwd,Jaipur,2016,54000,Diesel,Automatic,First,16.0,2179.0,140.0,7,13.25,mahindra,xuv500,at w10 fwd,18.865,₹12.37 - 20.11 lakh
131,maruti ritz vxi abs,Coimbatore,2016,30232,Petrol,Manual,First,21.1,1197.0,85.8,5,5.81,maruti,ritz,vxi abs,7.55626867,39.58
132,maruti alto k10 vxi,Hyderabad,2014,88500,Petrol,Manual,First,24.07,998.0,67.1,5,2.6,maruti,alto,k10 vxi,4.53,39.58
133,mercedes-benz slc 43 amg,Kolkata,2017,13372,Petrol,Automatic,First,19.0,2996.0,362.07,2,54.0,mercedes-benz,slc,43 amg,95.04,₹82.86 lakh
134,hyundai verna vtvt 1.6 at sx plus,Kochi,2019,12645,Petrol,Automatic,First,17.0,1591.0,121.3,5,11.5,hyundai,verna,vtvt 1.6 at sx plus,13.49,₹ 10.90 - 17.38 lakh
135,maruti alto lxi bsiii,Chennai,2010,94385,Petrol,Manual,Second,19.7,796.0,46.3,5,1.6,maruti,alto,lxi bsiii,4.53,8.1
136,bmw 1 series 118d base,Coimbatore,2015,31821,Diesel,Automatic,First,20.58,1995.0,143.0,5,17.22,bmw,1,series 118d base,63.44220807,8.1
137,honda jazz 1.2 v cvt i vtec,Mumbai,2015,12000,Petrol,Automatic,First,19.0,1199.0,88.7,5,6.0,honda,jazz,1.2 v cvt i vtec,9.431666667,₹ 8.11 - 10.41 lakh
138,honda civic 2006-2010 1.8 v mt,Delhi,2012,88578,Petrol,Manual,First,13.5,1799.0,130.0,5,3.95,honda,civic,2006-2010 1.8 v mt,11.79582001,₹17.95 - 22.36 lakh
139,mercedes-benz new c-class c 220 cdi avantgarde,Kochi,2014,44965,Diesel,Automatic,First,19.27,2143.0,170.0,5,17.95,mercedes-benz,new,c-class c 220 cdi avantgarde,49.49,2.79
140,honda amaze sx i-dtec,Kolkata,2014,45044,Diesel,Manual,First,25.8,1498.0,98.6,5,3.7,honda,amaze,sx i-dtec,8.662857143,₹ 6.91 - 9.50 lakh
141,maruti swift vvt vxi,Kochi,2016,34204,Petrol,Manual,First,22.0,1197.0,81.8,5,5.43,maruti,swift,vvt vxi,7.56375,3.45
142,hyundai santro xing xo erlx euro ii,Kochi,2008,80759,Petrol,Manual,Third,17.0,1086.0,91.94537954,5,1.67,hyundai,santro,xing xo erlx euro ii,11.28145047,₹3.91 - 6.45 lakh
143,toyota fortuner 3.0 diesel,Coimbatore,2012,91235,Diesel,Manual,First,11.5,2982.0,171.0,7,13.49,toyota,fortuner,3.0 diesel,36.548,₹ 32.58 - 50.34 lakh
144,skoda rapid 1.5 tdi elegance,Chennai,2013,83000,Diesel,Manual,First,21.14,1498.0,103.52,5,4.75,skoda,rapid,1.5 tdi elegance,14.132,₹6.99 - 14.25 lakh
145,maruti ciaz 1.4 alpha,Kochi,2018,41283,Petrol,Manual,First,20.73,1373.0,91.1,5,9.9,maruti,ciaz,1.4 alpha,11.04333333,3.8
146,audi rs5 coupe,Mumbai,2013,23000,Petrol,Automatic,First,11.05,2894.0,444.0,4,37.0,audi,rs5,coupe,128.0,₹ 1.10 crore
147,bmw 3 series luxury line,Mumbai,2014,48000,Diesel,Automatic,First,21.76,1995.0,190.0,5,26.5,bmw,3,series luxury line,60.88,4.65
