Name,Brand,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price
Volkswagen Vento 1.6 Highline,Volkswagen,Coimbatore,2014,55431,Petrol,Manual,Second,16.09,1598,103.5,5,12.33,6.98
Maruti Wagon R LXI BSIII,Maruti,Jaipur,2009,83816,Petrol,Manual,Second,14,1061,64,5,,1.85
Maruti Vitara Brezza ZDi Plus,Maruti,Kochi,2018,50075,Diesel,Manual,First,24.3,1248,88.5,5,11.12,8.63
Mahindra KUV 100 mFALCON G80 K6 5str AW,Mahindra,Delhi,2017,52000,Petrol,Manual,First,18.15,1198,82,5,,4.85
Mercedes-Benz M-Class ML 350 CDI,Mercedes,Pune,2013,85000,Diesel,Automatic,First,11.74,2987,254.8,5,,28
Volkswagen Polo Diesel Trendline 1.2L,Volkswagen,Chennai,2013,62000,Diesel,Manual,First,22.07,1199,73.9,5,,5
Maruti Alto LXi,Maruti,Delhi,2008,90000,Petrol,Manual,Second,19.7,796,46.3,5,,1.25
Tata Nano LX SE,Tata,Kochi,2014,19698,Petrol,Manual,First,25.4,624,37.5,4,,1.53
Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Mahindra,Coimbatore,2017,22033,Diesel,Manual,First,25.32,1198,77,6,,5.58
Hyundai i20 Magna Optional 1.2,Hyundai,Kochi,2014,35487,Petrol,Manual,First,18.5,1197,82.9,5,,4.74
Hyundai Elantra 2.0 SX Option AT,Hyundai,Bangalore,2014,46374,Petrol,Automatic,First,14.62,1999,149.92,5,23.64,8.85
Toyota Corolla Altis G AT,Toyota,Mumbai,2016,52001,Petrol,Automatic,First,14.28,1798,138.03,5,,10.11
Hyundai Elantra CRDi,Hyundai,Ahmedabad,2008,58005,Diesel,Manual,Second,14.9,1991,112.2,5,,4.25
Toyota Innova Crysta 2.7 GX MT,Toyota,Bangalore,2012,70704,Petrol,Manual,First,11.25,2694,163.7,7,18.64,10.95
Hyundai Xcent 1.1 CRDi S,Hyundai,Jaipur,2014,75000,Diesel,Manual,First,24.4,1120,71,5,,3.85
Mahindra Thar CRDe AC,Mahindra,Jaipur,2012,75800,Diesel,Manual,Second,16.55,2498,105,6,,5.5
Audi A4 2.0 TDI 177 Bhp Premium Plus,Audi,Kochi,2015,13648,Diesel,Automatic,First,17.11,1968,174.33,5,,21.43
Maruti Swift LDI,Maruti,Delhi,2014,52000,Diesel,Manual,First,22.9,1248,74,5,,4.25
Maruti Swift Ldi BSIV,Maruti,Kolkata,2014,53000,Diesel,Manual,First,17.8,1248,75,5,,3.3
Maruti Swift VDI,Maruti,Delhi,2013,65650,Diesel,Manual,First,28.4,1248,74,5,,3.85
Hyundai Grand i10 Sportz,Hyundai,Chennai,2015,54000,Petrol,Manual,Third,18.9,1197,82,5,,3.6
Volkswagen Vento 2013-2015 1.6 Comfortline,Volkswagen,Kolkata,2015,39000,Petrol,Manual,First,15.04,1598,103.2,5,,3.99
Renault KWID RXT,Renault,Kochi,2017,16542,Petrol,Manual,First,25.17,799,53.3,5,,3.3
Hyundai i10 Asta,Hyundai,Kolkata,2010,32000,Petrol,Manual,First,20.36,1197,78.9,5,,2.07
Nissan X-Trail SLX AT,Nissan,Hyderabad,2010,121812,Diesel,Automatic,First,13.29,1995,147.6,5,,7.75
Maruti Zen Estilo VXI BSIII,Maruti,Hyderabad,2010,39300,Petrol,Manual,First,18.2,998,67.1,5,,2.25
Toyota Innova Crysta 2.4 GX MT 8S,Toyota,Mumbai,2017,22000,Diesel,Manual,First,13.68,2393,147.8,8,19.34,16.5
Ford Figo Diesel Titanium,Ford,Bangalore,2010,72000,Diesel,Manual,First,20,1399,68,5,,2.75
Mercedes-Benz New C-Class C 200 CGI Avantgarde,Mercedes,Delhi,2015,58000,Petrol,Automatic,First,11.74,1796,186,5,,26.7
Mercedes-Benz New C-Class 200 CDI Classic,Mercedes,Pune,2011,65000,Diesel,Manual,Second,15.8,2148,170,5,,10
Tata Indica V2 eLS,Tata,Chennai,2016,178000,Diesel,Manual,First,25,1396,69,5,,2.5
Audi A4 2.0 TDI Multitronic,Audi,Jaipur,2012,65664,Diesel,Automatic,First,16.55,1968,140,5,,13.5
Honda City ZX CVT,Honda,Mumbai,2007,63000,Petrol,Automatic,Second,16.4,1497,78,5,,1.85
Mercedes-Benz C-Class Progressive C 220d,Mercedes,Coimbatore,2019,15369,Diesel,Automatic,First,0,1950,194,5,49.14,35.67
Maruti Ertiga SHVS VDI,Maruti,Pune,2016,63000,Diesel,Manual,First,24.52,1248,88.5,7,,8.15
Hyundai Creta 1.4 E Plus Diesel,Hyundai,Mumbai,2018,13000,Diesel,Manual,First,22.1,1396,88.7,5,11.81,10.5
Porsche Cayenne 2009-2014 Turbo,Porsche,Mumbai,2008,73000,Petrol,Automatic,First,8.5,4806,500,5,,14.5
Mahindra XUV500 W8 4WD,Mahindra,Mumbai,2015,55729,Diesel,Manual,First,15.1,2179,140,7,,9.65
Hyundai i10 Sportz 1.2 AT,Hyundai,Kochi,2012,45178,Petrol,Automatic,First,16.95,1197,78.9,5,,3.48
Nissan Terrano XV D Pre,Nissan,Kochi,2015,56066,Diesel,Manual,First,19.64,1461,108.5,5,16.65,6.92
Honda Brio VX AT,Honda,Coimbatore,2016,37300,Petrol,Automatic,Second,16.5,1198,86.8,5,,6.46
Audi A6 2.0 TDI Design Edition,Audi,Delhi,2014,56000,Diesel,Automatic,Second,18.53,1968,187.74,5,,29.5
Ford Fiesta 1.4 SXi TDCi,Ford,Jaipur,2008,111111,Diesel,Manual,First,17.8,1399,null,5,,2
Toyota Innova 2.0 G1,Toyota,Chennai,2006,230000,Petrol,Manual,Third,12.4,1998,132,8,,4.5
Toyota Innova 2.5 VX 7 STR BSIV,Toyota,Hyderabad,2012,104000,Diesel,Manual,First,12.8,2494,102,7,,11.75
Hyundai Santro Xing XL,Hyundai,Hyderabad,2005,87591,Petrol,Manual,First,0,1086,null,5,,1.3
Maruti Swift VDI,Maruti,Jaipur,2012,95100,Diesel,Manual,First,22.9,1248,74,5,,3.75
Tata Zest Revotron 1.2T XE,Tata,Pune,2017,70000,Petrol,Manual,First,17.57,1193,88.7,5,6.67,4.5
Honda Amaze SX i-VTEC,Honda,Kochi,2016,54944,Petrol,Manual,First,18,1198,86.7,5,,4.82
Ford Figo Diesel ZXI,Ford,Hyderabad,2012,70337,Diesel,Manual,First,20,1399,68,5,,2.8
Maruti Ritz VDi,Maruti,Jaipur,2013,99638,Diesel,Manual,First,23.2,1248,73.94,5,,3.11
Honda City i VTEC E,Honda,Delhi,2009,52000,Petrol,Manual,First,17.8,1497,117.3,5,,3.25
BMW 5 Series 2003-2012 525d,BMW,Delhi,2011,75000,Diesel,Automatic,Second,16.73,1995,218,5,,13.9
Hyundai i10 Sportz 1.2,Hyundai,Pune,2009,95980,Petrol,Manual,First,20.36,1197,78.9,5,,2.25
Hyundai Grand i10 Sportz,Hyundai,Bangalore,2016,16000,Petrol,Manual,First,18.9,1197,82,5,,5.75
Hyundai Santro Xing XO,Hyundai,Hyderabad,2007,73745,Petrol,Manual,First,17,1086,null,5,,2.1
Honda Amaze SX i-VTEC,Honda,Mumbai,2016,18949,Petrol,Manual,First,17.8,1198,86.7,5,,5
Toyota Fortuner 4x2 Manual,Toyota,Delhi,2014,107000,Diesel,Manual,First,13,2982,168.5,7,,16.5
Audi A6 2011-2015 35 TDI Premium,Audi,Coimbatore,2018,48367,Diesel,Automatic,First,17.68,1968,174.33,5,,39.58
Ford Ecosport 1.5 DV5 MT Titanium Optional,Ford,Delhi,2013,57000,Diesel,Manual,First,22.7,1498,89.84,5,,5.5
Mahindra XUV500 W8 2WD,Mahindra,Delhi,2014,58000,Diesel,Manual,First,15.1,2179,140,7,,8.1
Honda Amaze SX i-DTEC,Honda,Kolkata,2015,30000,Diesel,Manual,First,25.8,1498,98.6,5,,3.5
Volkswagen Polo Diesel Highline 1.2L,Volkswagen,Kolkata,2013,34212,Diesel,Manual,First,22.07,1199,73.9,5,,2.79
Hyundai Verna Transform SX VGT CRDi,Hyundai,Ahmedabad,2010,70002,Diesel,Manual,First,16.2,1493,110,5,,3.45
Maruti Wagon R VXI BS IV,Maruti,Bangalore,2016,62000,Petrol,Manual,First,18.9,998,67.1,5,,4.45
Volkswagen Polo Petrol Highline 1.6L,Volkswagen,Delhi,2010,62001,Petrol,Manual,First,15.26,1598,103.5,5,,2.65
Hyundai i20 1.4 CRDi Sportz,Hyundai,Pune,2011,78958,Diesel,Manual,Second,23,1396,90,5,,3.8
Hyundai i20 Asta 1.2,Hyundai,Mumbai,2014,30180,Petrol,Manual,First,18.5,1197,82.85,5,,4.65
Datsun GO Plus T Petrol,Datsun,Pune,2017,32851,Petrol,Manual,First,19.83,1198,67,7,6.45,3.95
Audi A4 3.0 TDI Quattro Premium,Audi,Kolkata,2010,30000,Diesel,Automatic,First,14.94,2967,241.4,5,,9.8
Hyundai i20 2015-2017 Asta,Hyundai,Pune,2009,66000,Petrol,Manual,Second,17,1197,80,5,,2.7
Maruti Omni 5 Str STD,Maruti,Coimbatore,2010,93850,Petrol,Manual,First,14,796,35,5,,2.41
Toyota Etios Liva 1.2 G,Toyota,Ahmedabad,2014,53000,Petrol,Manual,First,17.71,1197,78.9,5,6.41,3.9
Jaguar XF 3.0 Litre S Premium Luxury,Jaguar,Hyderabad,2011,78000,Diesel,Automatic,Second,14.74,2993,270.9,5,,24
Mahindra XUV500 W8 2WD,Mahindra,Delhi,2012,65000,Diesel,Manual,Second,16,2179,140,7,,5.75
Hyundai Verna 1.6 SX CRDI (O) AT,Hyundai,Kolkata,2014,40000,Diesel,Automatic,First,22.32,1582,126.32,5,,5.25
Toyota Innova Crysta 2.8 ZX AT,Toyota,Mumbai,2017,30000,Diesel,Automatic,First,11.36,2755,171.5,7,27,19.25
Maruti Eeco 5 Seater AC,Maruti,Coimbatore,2017,38053,Petrol,Manual,First,15.1,1196,73,5,5.13,3.91
Tata Nano Twist XT,Tata,Bangalore,2014,25500,Petrol,Manual,First,25.4,624,37.5,4,,2.15
BMW 3 Series 320d Luxury Line,BMW,Mumbai,2015,56087,Diesel,Automatic,First,22.69,1995,190,5,54.43,20.75
Honda Civic 2006-2010 1.8 V MT,Honda,Delhi,2010,71088,Petrol,Manual,First,13.5,1799,130,5,,3.35
Toyota Innova 2.5 VX (Diesel) 7 Seater,Toyota,Ahmedabad,2014,55000,Diesel,Manual,First,12.99,2494,100.6,7,,11.11
Volvo V40 Cross Country D3,Volvo,Bangalore,2014,32700,Diesel,Automatic,First,23.3,1984,150,5,,20
Nissan Micra XV CVT,Nissan,Coimbatore,2016,39882,Petrol,Automatic,First,19.15,1198,75.94,5,9.51,6.55
BMW 5 Series 2010-2013 525i,BMW,Mumbai,2009,128000,Petrol,Automatic,First,10.8,2497,215,5,,7
Maruti Vitara Brezza VDi,Maruti,Mumbai,2016,55000,Diesel,Manual,First,24.3,1248,88.5,5,9.96,7.5
Hyundai Santro Xing XL eRLX Euro III,Hyundai,Mumbai,2005,102000,Petrol,Manual,Second,17,1086,null,5,,0.85
Mercedes-Benz B Class B200 CDI,Mercedes,Pune,2014,53753,Diesel,Automatic,Second,15,2143,107.3,5,,16.75
Hyundai Verna CRDi 1.6 SX Option,Hyundai,Kolkata,2018,10250,Diesel,Manual,First,22,1582,126.2,5,14.44,10.95
Maruti Wagon R LXI BS IV,Maruti,Pune,2011,43874,Petrol,Manual,First,18.9,998,67.1,5,,2.45
Tata Nano XTA,Tata,Coimbatore,2017,32684,Petrol,Automatic,First,21.9,624,37.48,4,,3.23
Mahindra Scorpio VLX,Mahindra,Kolkata,2014,42000,Diesel,Manual,First,12.05,2179,120,8,,7.75
Mercedes-Benz New C-Class 200 K AT,Mercedes,Kolkata,2009,28352,Petrol,Automatic,First,11.7,1796,178,5,,9.35
Maruti Wagon R LXI CNG,Maruti,Pune,2013,89900,CNG,Manual,First,26.6,998,58.16,5,,3.25
Honda CR-V 2.4 MT,Honda,Bangalore,2007,47700,Petrol,Manual,Second,10.8,2354,152,5,,5.25
Volkswagen Vento 1.5 TDI Comfortline AT,Volkswagen,Pune,2015,55000,Diesel,Automatic,First,21.21,1498,103.2,5,,7.25
Maruti Ciaz VXi Plus,Maruti,Kochi,2017,44285,Petrol,Manual,First,20.73,1373,91.1,5,,7.47
Mahindra XUV500 AT W10 FWD,Mahindra,Jaipur,2016,54000,Diesel,Automatic,First,16,2179,140,7,,13.25
Maruti Ritz VXI ABS,Maruti,Coimbatore,2016,30232,Petrol,Manual,First,21.1,1197,85.8,5,,5.81
Maruti Alto K10 VXI,Maruti,Hyderabad,2014,88500,Petrol,Manual,First,24.07,998,67.1,5,4.53,2.6
Mercedes-Benz SLC 43 AMG,Mercedes,Kolkata,2017,13372,Petrol,Automatic,First,19,2996,362.07,2,95.04,54
Hyundai Verna VTVT 1.6 AT SX Plus,Hyundai,Kochi,2019,12645,Petrol,Automatic,First,17,1591,121.3,5,13.49,11.5
Maruti Alto LXi BSIII,Maruti,Chennai,2010,94385,Petrol,Manual,Second,19.7,796,46.3,5,,1.6
BMW 1 Series 118d Base,BMW,Coimbatore,2015,31821,Diesel,Automatic,First,20.58,1995,143,5,,17.22
Honda Jazz 1.2 V CVT i VTEC,Honda,Mumbai,2015,12000,Petrol,Automatic,First,19,1199,88.7,5,,6
Honda Civic 2006-2010 1.8 V MT,Honda,Delhi,2012,88578,Petrol,Manual,First,13.5,1799,130,5,,3.95
Mercedes-Benz New C-Class C 220 CDI Avantgarde,Mercedes,Kochi,2014,44965,Diesel,Automatic,First,19.27,2143,170,5,,17.95
Honda Amaze SX i-DTEC,Honda,Kolkata,2014,45044,Diesel,Manual,First,25.8,1498,98.6,5,,3.7
Maruti Swift VVT VXI,Maruti,Kochi,2016,34204,Petrol,Manual,First,22,1197,81.8,5,,5.43
Hyundai Santro Xing XO eRLX Euro II,Hyundai,Kochi,2008,80759,Petrol,Manual,Third,17,1086,null,5,,1.67
Toyota Fortuner 3.0 Diesel,Toyota,Coimbatore,2012,91235,Diesel,Manual,First,11.5,2982,171,7,,13.49
Chevrolet Beat LT Option,Chevrolet,Pune,2014,38800,Petrol,Manual,First,18.6,1199,76.8,5,,2.85
Skoda Rapid 1.5 TDI Elegance,Skoda,Chennai,2013,83000,Diesel,Manual,First,21.14,1498,103.52,5,,4.75
Maruti Ciaz 1.4 Alpha,Maruti,Kochi,2018,41283,Petrol,Manual,First,20.73,1373,91.1,5,,9.9
Audi RS5 Coupe,Audi,Mumbai,2013,23000,Petrol,Automatic,First,11.05,2894,444,4,1.28,37
BMW 3 Series Luxury Line,BMW,Mumbai,2014,48000,Diesel,Automatic,First,21.76,1995,190,5,60.88,26.5
Audi A4 2.0 TDI 177 Bhp Premium Plus,Audi,Coimbatore,2015,48214,Diesel,Automatic,First,17.11,1968,174.33,5,,23.32
Maruti Swift VDI,Maruti,Chennai,2016,35000,Diesel,Manual,First,22.9,1248,74,5,,6.25
Mercedes-Benz S Class 2005 2013 S 500,Mercedes,Kolkata,2010,35277,Petrol,Automatic,First,7.81,5461,362.9,5,,30
Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,Skoda,Coimbatore,2016,54620,Diesel,Automatic,First,21.66,1498,103.52,5,,9.86
Skoda Superb Elegance 2.0 TDI CR AT,Skoda,Pune,2012,136997,Diesel,Automatic,First,17.2,1968,138.1,5,,8.5
Hyundai EON Magna Plus,Hyundai,Kochi,2019,14322,Petrol,Manual,First,21.1,814,55.2,5,,4.23
Volkswagen Polo Diesel Trendline 1.2L,Volkswagen,Jaipur,2012,65634,Diesel,Manual,First,22.07,1199,73.9,5,,3.5
Datsun GO NXT,Datsun,Kolkata,2016,6000,Petrol,Manual,First,20.63,1198,67.06,5,,2.5
Honda Brio S MT,Honda,Kolkata,2013,33280,Petrol,Manual,First,19.4,1198,86.8,5,,2.39
Mercedes-Benz B Class B180,Mercedes,Delhi,2013,29000,Petrol,Automatic,First,14.8,1595,120.7,5,,11.25
Honda City i DTEC V,Honda,Kochi,2015,42831,Diesel,Manual,First,26,1498,98.6,5,,7.11
Toyota Innova 2.5 G (Diesel) 7 Seater,Toyota,Ahmedabad,2016,90000,Diesel,Manual,First,12.99,2494,100.6,7,,10.9
Maruti Swift VXI Optional,Maruti,Ahmedabad,2017,24005,Petrol,Manual,First,20.4,1197,81.8,5,,6.2
Mahindra XUV500 W8 2WD,Mahindra,Mumbai,2012,32792,Diesel,Manual,First,15.1,2179,140,7,,7.9
Ford Ecosport 1.5 DV5 MT Ambiente,Ford,Kochi,2014,147898,Diesel,Manual,First,22.7,1498,89.84,5,,4.42
Toyota Fortuner 4x2 Manual,Toyota,Mumbai,2012,131765,Diesel,Manual,First,13,2982,168.5,7,,13.5
Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,Volkswagen,Chennai,2013,65000,Diesel,Automatic,First,21.5,1498,108.5,5,,6.25
Ford Figo Diesel Titanium,Ford,Jaipur,2010,66123,Diesel,Manual,Second,20,1399,68,5,,2.1
BMW X5 xDrive 30d,BMW,Mumbai,2015,41000,Diesel,Automatic,First,15.3,2993,258,5,,45
Mercedes-Benz New C-Class C 220 CDI Style,Mercedes,Coimbatore,2017,23550,Diesel,Automatic,First,19.27,2143,167.62,5,,33.66
Honda Brio V MT,Honda,Bangalore,2012,45000,Petrol,Manual,Second,19.4,1198,86.8,5,,3.65
Hyundai i10 Magna 1.2,Hyundai,Delhi,2013,60000,Petrol,Manual,First,20.36,1197,78.9,5,,2.75
Mercedes-Benz GLC 220,Mercedes,Bangalore,2016,44414,Diesel,Automatic,First,17.9,2143,170,5,,42.5
Hyundai Grand i10 1.2 Kappa Asta,Hyundai,Kolkata,2019,1000,Petrol,Manual,First,18.9,1197,81.86,5,7.39,6.5
Audi A6 2011-2015 2.0 TDI Premium Plus,Audi,Mumbai,2012,62500,Diesel,Automatic,Second,17.68,1968,174.33,5,,19
Volkswagen Vento Petrol Highline AT,Volkswagen,Mumbai,2013,21000,Petrol,Automatic,Second,14.4,1598,103.6,5,,4.45
Mini Countryman Cooper D,Mini,Jaipur,2017,8525,Diesel,Automatic,Second,16.6,1998,112,5,,23
Hyundai i20 Asta 1.4 CRDi,Hyundai,Bangalore,2014,29000,Diesel,Manual,First,22.54,1396,88.73,5,,8.35
Audi A6 2011-2015 2.0 TDI Premium Plus,Audi,Mumbai,2014,40000,Diesel,Automatic,First,17.68,1968,174.33,5,,22.95
Chevrolet Beat Diesel LT,Chevrolet,Jaipur,2012,88000,Diesel,Manual,First,25.44,936,57.6,5,,1.5
Skoda Superb Elegance 1.8 TSI AT,Skoda,Kochi,2012,53537,Petrol,Automatic,First,13.7,1798,157.75,5,,6.89
Ford Fiesta 1.4 TDCi EXI Limited Edition,Ford,Chennai,2006,216000,Diesel,Manual,Second,17.8,1399,68,5,,1.45
BMW 5 Series 520d Luxury Line,BMW,Hyderabad,2014,51000,Diesel,Automatic,First,22.48,1995,190,5,69.47,33.5
Chevrolet Optra Magnum 1.6 LS BS3,Chevrolet,Jaipur,2007,118500,Petrol,Manual,First,12.9,1598,102.5,5,,1.25
Volkswagen Polo Diesel Highline 1.2L,Volkswagen,Hyderabad,2012,63000,Diesel,Manual,First,22.07,1199,73.9,5,,4.2
Renault Lodgy 110PS RxZ 8 Seater,Renault,Mumbai,2015,25000,Diesel,Manual,First,19.98,1461,108.5,8,,6.75
Mercedes-Benz E-Class E250 CDI Avantgrade,Mercedes,Bangalore,2014,37382,Diesel,Automatic,First,13,2143,201.1,5,,32
Maruti Baleno Alpha,Maruti,Kochi,2017,24773,Petrol,Manual,First,21.4,1197,83.1,5,8.78,7.5
Hyundai Verna 1.6 SX,Hyundai,Delhi,2012,62000,Diesel,Manual,First,22.32,1582,126.32,5,,4.6
Hyundai i10 Magna 1.1,Hyundai,Kochi,2017,52340,Petrol,Manual,First,19.81,1086,68.05,5,,4.04
Mahindra Scorpio 1.99 S10 4WD,Mahindra,Kochi,2016,56739,Diesel,Manual,First,15.4,1997,120,7,,10.31
Land Rover Range Rover 2.2L Dynamic,Land,Coimbatore,2018,36091,Diesel,Automatic,First,12.7,2179,187.7,5,,55.76
Ford Figo Diesel ZXI,Ford,Chennai,2010,120000,Diesel,Manual,First,20,1399,68,5,,2.6
Maruti Ertiga ZDI,Maruti,Mumbai,2016,33000,Diesel,Manual,First,25.47,1248,88.5,7,12.74,8.5
Honda City 1.5 GXI,Honda,Ahmedabad,2007,60006,Petrol,Manual,First,0,,,,,2.95
Honda Amaze S i-Dtech,Honda,Kolkata,2014,52000,Diesel,Manual,First,25.8,1498,98.6,5,,3.5
Hyundai i10 Magna,Hyundai,Jaipur,2015,43571,Petrol,Manual,First,20.36,1197,78.9,5,,3.55
Honda Amaze S i-Dtech,Honda,Kolkata,2013,50000,Diesel,Manual,First,25.8,1498,98.6,5,,3.25
Skoda Laura Ambiente,Skoda,Hyderabad,2008,113000,Diesel,Manual,First,17.5,1896,106,5,,4.5
Renault Duster 85PS Diesel RxL,Renault,Delhi,2014,90000,Diesel,Manual,First,19.87,1461,83.8,5,,5.35
Mahindra NuvoSport N6,Mahindra,Chennai,2017,29000,Diesel,Manual,Second,17.45,1493,100,7,10.52,6.5
Maruti Vitara Brezza ZDi Plus Dual Tone,Maruti,Mumbai,2016,20000,Diesel,Manual,First,24.3,1248,88.5,5,11.98,9
Hyundai i20 Asta Option 1.2,Hyundai,Kochi,2016,61012,Petrol,Manual,First,18.6,1197,81.83,5,,6
Skoda Fabia 1.4 MPI Ambiente,Skoda,Jaipur,2009,87459,Petrol,Manual,First,14.7,1390,85,5,,2.75
Tata Indigo eCS GLX,Tata,Pune,2010,70500,Petrol,Manual,First,15.64,1193,64.1,5,,1.5
Audi Q3 2012-2015 35 TDI Quattro Premium Plus,Audi,Delhi,2015,64103,Diesel,Automatic,First,15.73,1968,174.33,5,,19.9
Skoda Octavia Elegance 1.8 TSI AT,Skoda,Mumbai,2014,76000,Petrol,Automatic,First,14.7,1798,177.5,5,,10
Toyota Etios Liva GD SP,Toyota,Delhi,2014,104000,Diesel,Manual,First,23.59,1364,67.06,5,,3
Maruti Swift 1.3 VXi,Maruti,Kolkata,2010,42001,Petrol,Manual,First,16.1,,,,,2.11
Mercedes-Benz B Class B180,Mercedes,Kochi,2014,37245,Petrol,Automatic,First,14.8,1595,120.7,5,,11.96
Honda Amaze S Diesel,Honda,Kolkata,2013,45000,Diesel,Manual,First,27.4,1498,98.6,5,8.54,3.25
Hyundai Verna 1.6 SX,Hyundai,Jaipur,2012,117837,Diesel,Manual,Second,22.32,1582,126.32,5,,4.75
Renault Duster 85PS Diesel RxL Optional,Renault,Mumbai,2014,30000,Diesel,Manual,First,20.46,1461,83.8,5,,5.95
Hyundai Creta 1.6 VTVT S,Hyundai,Delhi,2015,27057,Petrol,Manual,Second,15.29,1591,121.3,5,,8.15
Maruti Wagon R AMT VXI,Maruti,Mumbai,2016,8500,Petrol,Automatic,First,20.51,998,67,5,,4.22
Mercedes-Benz New C-Class C250 Avantgarde,Mercedes,Kolkata,2010,30500,Petrol,Automatic,First,11.74,1796,186,5,,10.5
Audi A8 L 3.0 TDI quattro,Audi,Delhi,2012,56000,Diesel,Automatic,First,11.8,2967,246.7,5,,45
