,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Brand,Model,Variant,New_Price1
19,mercedes-benz new c-class c 220 cdi be avantgare,Bangalore,2014,78500,Diesel,Automatic,First,14.84,2143,167.62,5,28,mercedes-benz,new,c-class c 220 cdi be avantgare,49.49
20,bmw 3 series 320d,Kochi,2014,32982,Diesel,Automatic,First,22.69,1995,190,5,18.55,bmw,3,series 320d,47.87
22,audi a6 2011-2015 35 tfsi technology,Mumbai,2015,55985,Petrol,Automatic,First,13.53,1984,177.01,5,23.5,audi,a6,2011-2015 35 tfsi technology,62.35666667
23,hyundai i20 1.2 magna,Kolkata,2010,45807,Petrol,Manual,First,18.5,1197,80,5,1.87,hyundai,i20,1.2 magna,9.74
24,volkswagen vento petrol highline at,Kolkata,2010,33000,Petrol,Automatic,First,14.4,1598,103.6,5,2.85,volkswagen,vento,petrol highline at,13.81375
25,honda city corporate edition,Mumbai,2012,51920,Petrol,Manual,First,16.8,1497,116.3,5,4.25,honda,city,corporate edition,14.63571429
26,nissan micra diesel xv,Hyderabad,2012,54000,Diesel,Manual,First,23.08,1461,63.1,5,4.25,nissan,micra,diesel xv,8.59
27,maruti alto k10 2010-2014 vxi,Hyderabad,2013,54000,Petrol,Manual,Second,20.92,998,67.1,5,2.75,maruti,alto,k10 2010-2014 vxi,4.53
28,honda wrv i-vtec vx,Kochi,2018,37430,Petrol,Manual,First,17.5,1199,88.7,5,9.9,honda,wrv,i-vtec vx,10.57
29,toyota innova 2.5 v diesel 7-seater,Mumbai,2007,262000,Diesel,Manual,Fourth & Above,12.8,2494,102,7,4,toyota,innova,2.5 v diesel 7-seater,23.61366667
30,renault duster 110ps diesel rxz pack,Bangalore,2013,62000,Diesel,Manual,First,19.01,1461,108.45,5,7.75,renault,duster,110ps diesel rxz pack,13.87
31,toyota corolla altis g,Delhi,2012,87615,Petrol,Manual,First,14.53,1798,138.1,5,6.75,toyota,corolla,altis g,20.97
32,mahindra ssangyong rexton rx7,Bangalore,2013,72000,Diesel,Automatic,Second,11.18,2696,184,7,12.5,mahindra,ssangyong,rexton rx7,15.5675283
33,audi a6 2.7 tdi,Kolkata,2010,35000,Diesel,Automatic,First,12.4,2698,179.5,5,11.5,audi,a6,2.7 tdi,62.35666667
34,volkswagen vento 1.6 highline,Coimbatore,2014,55431,Petrol,Manual,Second,16.09,1598,103.5,5,6.98,volkswagen,vento,1.6 highline,12.33
35,maruti wagon r lxi bsiii,Jaipur,2009,83816,Petrol,Manual,Second,14,1061,64,5,1.85,maruti,wagon,r lxi bsiii,5.39
36,maruti vitara brezza zdi plus,Kochi,2018,50075,Diesel,Manual,First,24.3,1248,88.5,5,8.63,maruti,vitara,brezza zdi plus,11.12
37,mahindra kuv 100 mfalcon g80 k6 5str aw,Delhi,2017,52000,Petrol,Manual,First,18.15,1198,82,5,4.85,mahindra,kuv,100 mfalcon g80 k6 5str aw,7.35
38,mercedes-benz m-class ml 350 cdi,Pune,2013,85000,Diesel,Automatic,First,11.74,2987,254.8,5,28,mercedes-benz,m-class,ml 350 cdi,63.09554084
39,volkswagen polo diesel trendline 1.2l,Chennai,2013,62000,Diesel,Manual,First,22.07,1199,73.9,5,5,volkswagen,polo,diesel trendline 1.2l,9.71375
40,maruti alto lxi,Delhi,2008,90000,Petrol,Manual,Second,19.7,796,46.3,5,1.25,maruti,alto,lxi,4.53
41,tata nano lx se,Kochi,2014,19698,Petrol,Manual,First,25.4,624,37.5,4,1.53,tata,nano,lx se,10.75306548
42,mahindra kuv 100 mfalcon d75 k8 dual tone,Coimbatore,2017,22033,Diesel,Manual,First,25.32,1198,77,6,5.58,mahindra,kuv,100 mfalcon d75 k8 dual tone,7.35
43,hyundai i20 magna optional 1.2,Kochi,2014,35487,Petrol,Manual,First,18.5,1197,82.9,5,4.74,hyundai,i20,magna optional 1.2,9.74
44,hyundai elantra 2.0 sx option at,Bangalore,2014,46374,Petrol,Automatic,First,14.62,1999,149.92,5,8.85,hyundai,elantra,2.0 sx option at,23.64
45,toyota corolla altis g at,Mumbai,2016,52001,Petrol,Automatic,First,14.28,1798,138.03,5,10.11,toyota,corolla,altis g at,20.97
46,hyundai elantra crdi,Ahmedabad,2008,58005,Diesel,Manual,Second,14.9,1991,112.2,5,4.25,hyundai,elantra,crdi,22.65
47,toyota innova crysta 2.7 gx mt,Bangalore,2012,70704,Petrol,Manual,First,11.25,2694,163.7,7,10.95,toyota,innova,crysta 2.7 gx mt,18.64
48,hyundai xcent 1.1 crdi s,Jaipur,2014,75000,Diesel,Manual,First,24.4,1120,71,5,3.85,hyundai,xcent,1.1 crdi s,8.274
49,mahindra thar crde ac,Jaipur,2012,75800,Diesel,Manual,Second,16.55,2498,105,6,5.5,mahindra,thar,crde ac,11.39
50,audi a4 2.0 tdi 177 bhp premium plus,Kochi,2015,13648,Diesel,Automatic,First,17.11,1968,174.33,5,21.43,audi,a4,2.0 tdi 177 bhp premium plus,51.385
51,maruti swift ldi,Delhi,2014,52000,Diesel,Manual,First,22.9,1248,74,5,4.25,maruti,swift,ldi,7.56375
52,maruti swift ldi bsiv,Kolkata,2014,53000,Diesel,Manual,First,17.8,1248,75,5,3.3,maruti,swift,ldi bsiv,7.56375
53,maruti swift vdi,Delhi,2013,65650,Diesel,Manual,First,28.4,1248,74,5,3.85,maruti,swift,vdi,7.56375
54,hyundai grand i10 sportz,Chennai,2015,54000,Petrol,Manual,Third,18.9,1197,82,5,3.6,hyundai,grand,i10 sportz,7.2952
55,volkswagen vento 2013-2015 1.6 comfortline,Kolkata,2015,39000,Petrol,Manual,First,15.04,1598,103.2,5,3.99,volkswagen,vento,2013-2015 1.6 comfortline,13.81375
56,renault kwid rxt,Kochi,2017,16542,Petrol,Manual,First,25.17,799,53.3,5,3.3,renault,kwid,rxt,4.834285714
57,hyundai i10 asta,Kolkata,2010,32000,Petrol,Manual,First,20.36,1197,78.9,5,2.07,hyundai,i10,asta,11.28145047
58,nissan x-trail slx at,Hyderabad,2010,121812,Diesel,Automatic,First,13.29,1995,147.6,5,7.75,nissan,x-trail,slx at,11.57734694
59,maruti zen estilo vxi bsiii,Hyderabad,2010,39300,Petrol,Manual,First,18.2,998,67.1,5,2.25,maruti,zen,estilo vxi bsiii,7.55626867
60,toyota innova crysta 2.4 gx mt 8s,Mumbai,2017,22000,Diesel,Manual,First,13.68,2393,147.8,8,16.5,toyota,innova,crysta 2.4 gx mt 8s,19.34
61,ford figo diesel titanium,Bangalore,2010,72000,Diesel,Manual,First,20,1399,68,5,2.75,ford,figo,diesel titanium,7.65
62,mercedes-benz new c-class c 200 cgi avantgarde,Delhi,2015,58000,Petrol,Automatic,First,11.74,1796,186,5,26.7,mercedes-benz,new,c-class c 200 cgi avantgarde,49.49
63,mercedes-benz new c-class 200 cdi classic,Pune,2011,65000,Diesel,Manual,Second,15.8,2148,170,5,10,mercedes-benz,new,c-class 200 cdi classic,49.49
64,tata indica v2 els,Chennai,2016,178000,Diesel,Manual,First,25,1396,69,5,2.5,tata,indica,v2 els,10.75306548
65,audi a4 2.0 tdi multitronic,Jaipur,2012,65664,Diesel,Automatic,First,16.55,1968,140,5,13.5,audi,a4,2.0 tdi multitronic,51.385
66,honda city zx cvt,Mumbai,2007,63000,Petrol,Automatic,Second,16.4,1497,78,5,1.85,honda,city,zx cvt,14.63571429
67,mercedes-benz c-class progressive c 220d,Coimbatore,2019,15369,Diesel,Automatic,First,0,1950,194,5,35.67,mercedes-benz,c-class,progressive c 220d,49.14
68,maruti ertiga shvs vdi,Pune,2016,63000,Diesel,Manual,First,24.52,1248,88.5,7,8.15,maruti,ertiga,shvs vdi,11.61857143
69,hyundai creta 1.4 e plus diesel,Mumbai,2018,13000,Diesel,Manual,First,22.1,1396,88.7,5,10.5,hyundai,creta,1.4 e plus diesel,11.81
70,porsche cayenne 2009-2014 turbo,Mumbai,2008,73000,Petrol,Automatic,First,8.5,4806,500,5,14.5,porsche,cayenne,2009-2014 turbo,136
71,mahindra xuv500 w8 4wd,Mumbai,2015,55729,Diesel,Manual,First,15.1,2179,140,7,9.65,mahindra,xuv500,w8 4wd,18.865
72,hyundai i10 sportz 1.2 at,Kochi,2012,45178,Petrol,Automatic,First,16.95,1197,78.9,5,3.48,hyundai,i10,sportz 1.2 at,11.28145047
73,nissan terrano xv d pre,Kochi,2015,56066,Diesel,Manual,First,19.64,1461,108.5,5,6.92,nissan,terrano,xv d pre,16.65
74,honda brio vx at,Coimbatore,2016,37300,Petrol,Automatic,Second,16.5,1198,86.8,5,6.46,honda,brio,vx at,6.8825
75,audi a6 2.0 tdi design edition,Delhi,2014,56000,Diesel,Automatic,Second,18.53,1968,187.74,5,29.5,audi,a6,2.0 tdi design edition,62.35666667
76,ford fiesta 1.4 sxi tdci,Jaipur,2008,111111,Diesel,Manual,First,17.8,1399,96.20556886,5,2,ford,fiesta,1.4 sxi tdci,13.57205029
77,toyota innova 2.0 g1,Chennai,2006,230000,Petrol,Manual,Third,12.4,1998,132,8,4.5,toyota,innova,2.0 g1,23.61366667
78,toyota innova 2.5 vx 7 str bsiv,Hyderabad,2012,104000,Diesel,Manual,First,12.8,2494,102,7,11.75,toyota,innova,2.5 vx 7 str bsiv,23.61366667
79,hyundai santro xing xl,Hyderabad,2005,87591,Petrol,Manual,First,0,1086,91.94537954,5,1.3,hyundai,santro,xing xl,11.28145047
80,maruti swift vdi,Jaipur,2012,95100,Diesel,Manual,First,22.9,1248,74,5,3.75,maruti,swift,vdi,7.56375
81,tata zest revotron 1.2t xe,Pune,2017,70000,Petrol,Manual,First,17.57,1193,88.7,5,4.5,tata,zest,revotron 1.2t xe,6.67
82,honda amaze sx i-vtec,Kochi,2016,54944,Petrol,Manual,First,18,1198,86.7,5,4.82,honda,amaze,sx i-vtec,8.662857143
83,ford figo diesel zxi,Hyderabad,2012,70337,Diesel,Manual,First,20,1399,68,5,2.8,ford,figo,diesel zxi,7.65
84,maruti ritz vdi,Jaipur,2013,99638,Diesel,Manual,First,23.2,1248,73.94,5,3.11,maruti,ritz,vdi,7.55626867
85,honda city i vtec e,Delhi,2009,52000,Petrol,Manual,First,17.8,1497,117.3,5,3.25,honda,city,i vtec e,14.63571429
86,bmw 5 series 2003-2012 525d,Delhi,2011,75000,Diesel,Automatic,Second,16.73,1995,218,5,13.9,bmw,5,series 2003-2012 525d,67.24571429
87,hyundai i10 sportz 1.2,Pune,2009,95980,Petrol,Manual,First,20.36,1197,78.9,5,2.25,hyundai,i10,sportz 1.2,11.28145047
88,hyundai grand i10 sportz,Bangalore,2016,16000,Petrol,Manual,First,18.9,1197,82,5,5.75,hyundai,grand,i10 sportz,7.2952
89,hyundai santro xing xo,Hyderabad,2007,73745,Petrol,Manual,First,17,1086,91.94537954,5,2.1,hyundai,santro,xing xo,11.28145047
90,honda amaze sx i-vtec,Mumbai,2016,18949,Petrol,Manual,First,17.8,1198,86.7,5,5,honda,amaze,sx i-vtec,8.662857143
91,toyota fortuner 4x2 manual,Delhi,2014,107000,Diesel,Manual,First,13,2982,168.5,7,16.5,toyota,fortuner,4x2 manual,36.548
92,audi a6 2011-2015 35 tdi premium,Coimbatore,2018,48367,Diesel,Automatic,First,17.68,1968,174.33,5,39.58,audi,a6,2011-2015 35 tdi premium,62.35666667
93,ford ecosport 1.5 dv5 mt titanium optional,Delhi,2013,57000,Diesel,Manual,First,22.7,1498,89.84,5,5.5,ford,ecosport,1.5 dv5 mt titanium optional,12.10909091
94,mahindra xuv500 w8 2wd,Delhi,2014,58000,Diesel,Manual,First,15.1,2179,140,7,8.1,mahindra,xuv500,w8 2wd,18.865
95,honda amaze sx i-dtec,Kolkata,2015,30000,Diesel,Manual,First,25.8,1498,98.6,5,3.5,honda,amaze,sx i-dtec,8.662857143
96,volkswagen polo diesel highline 1.2l,Kolkata,2013,34212,Diesel,Manual,First,22.07,1199,73.9,5,2.79,volkswagen,polo,diesel highline 1.2l,9.71375
97,hyundai verna transform sx vgt crdi,Ahmedabad,2010,70002,Diesel,Manual,First,16.2,1493,110,5,3.45,hyundai,verna,transform sx vgt crdi,14.254
98,maruti wagon r vxi bs iv,Bangalore,2016,62000,Petrol,Manual,First,18.9,998,67.1,5,4.45,maruti,wagon,r vxi bs iv,5.39
99,volkswagen polo petrol highline 1.6l,Delhi,2010,62001,Petrol,Manual,First,15.26,1598,103.5,5,2.65,volkswagen,polo,petrol highline 1.6l,9.71375
100,hyundai i20 1.4 crdi sportz,Pune,2011,78958,Diesel,Manual,Second,23,1396,90,5,3.8,hyundai,i20,1.4 crdi sportz,9.74
101,hyundai i20 asta 1.2,Mumbai,2014,30180,Petrol,Manual,First,18.5,1197,82.85,5,4.65,hyundai,i20,asta 1.2,9.74
102,datsun go plus t petrol,Pune,2017,32851,Petrol,Manual,First,19.83,1198,67,7,3.95,datsun,go,plus t petrol,6.45
103,audi a4 3.0 tdi quattro premium,Kolkata,2010,30000,Diesel,Automatic,First,14.94,2967,241.4,5,9.8,audi,a4,3.0 tdi quattro premium,51.385
104,hyundai i20 2015-2017 asta,Pune,2009,66000,Petrol,Manual,Second,17,1197,80,5,2.7,hyundai,i20,2015-2017 asta,9.74
105,maruti omni 5 str std,Coimbatore,2010,93850,Petrol,Manual,First,14,796,35,5,2.41,maruti,omni,5 str std,7.55626867
106,toyota etios liva 1.2 g,Ahmedabad,2014,53000,Petrol,Manual,First,17.71,1197,78.9,5,3.9,toyota,etios,liva 1.2 g,6.41
107,jaguar xf 3.0 litre s premium luxury,Hyderabad,2011,78000,Diesel,Automatic,Second,14.74,2993,270.9,5,24,jaguar,xf,3.0 litre s premium luxury,72.64
108,mahindra xuv500 w8 2wd,Delhi,2012,65000,Diesel,Manual,Second,16,2179,140,7,5.75,mahindra,xuv500,w8 2wd,18.865
109,hyundai verna 1.6 sx crdi (o) at,Kolkata,2014,40000,Diesel,Automatic,First,22.32,1582,126.32,5,5.25,hyundai,verna,1.6 sx crdi (o) at,14.254
110,toyota innova crysta 2.8 zx at,Mumbai,2017,30000,Diesel,Automatic,First,11.36,2755,171.5,7,19.25,toyota,innova,crysta 2.8 zx at,27
111,maruti eeco 5 seater ac,Coimbatore,2017,38053,Petrol,Manual,First,15.1,1196,73,5,3.91,maruti,eeco,5 seater ac,5.13
112,tata nano twist xt,Bangalore,2014,25500,Petrol,Manual,First,25.4,624,37.5,4,2.15,tata,nano,twist xt,10.75306548
113,bmw 3 series 320d luxury line,Mumbai,2015,56087,Diesel,Automatic,First,22.69,1995,190,5,20.75,bmw,3,series 320d luxury line,54.43
114,honda civic 2006-2010 1.8 v mt,Delhi,2010,71088,Petrol,Manual,First,13.5,1799,130,5,3.35,honda,civic,2006-2010 1.8 v mt,11.79582001
115,toyota innova 2.5 vx (diesel) 7 seater,Ahmedabad,2014,55000,Diesel,Manual,First,12.99,2494,100.6,7,11.11,toyota,innova,2.5 vx (diesel) 7 seater,23.61366667
116,volvo v40 cross country d3,Bangalore,2014,32700,Diesel,Automatic,First,23.3,1984,150,5,20,volvo,v40,cross country d3,45.67
117,nissan micra xv cvt,Coimbatore,2016,39882,Petrol,Automatic,First,19.15,1198,75.94,5,6.55,nissan,micra,xv cvt,9.51
118,bmw 5 series 2010-2013 525i,Mumbai,2009,128000,Petrol,Automatic,First,10.8,2497,215,5,7,bmw,5,series 2010-2013 525i,67.24571429
119,maruti vitara brezza vdi,Mumbai,2016,55000,Diesel,Manual,First,24.3,1248,88.5,5,7.5,maruti,vitara,brezza vdi,9.96
120,hyundai santro xing xl erlx euro iii,Mumbai,2005,102000,Petrol,Manual,Second,17,1086,91.94537954,5,0.85,hyundai,santro,xing xl erlx euro iii,11.28145047
121,mercedes-benz b class b200 cdi,Pune,2014,53753,Diesel,Automatic,Second,15,2143,107.3,5,16.75,mercedes-benz,b,class b200 cdi,63.09554084
122,hyundai verna crdi 1.6 sx option,Kolkata,2018,10250,Diesel,Manual,First,22,1582,126.2,5,10.95,hyundai,verna,crdi 1.6 sx option,14.44
123,maruti wagon r lxi bs iv,Pune,2011,43874,Petrol,Manual,First,18.9,998,67.1,5,2.45,maruti,wagon,r lxi bs iv,5.39
124,tata nano xta,Coimbatore,2017,32684,Petrol,Automatic,First,21.9,624,37.48,4,3.23,tata,nano,xta,10.75306548
125,mahindra scorpio vlx,Kolkata,2014,42000,Diesel,Manual,First,12.05,2179,120,8,7.75,mahindra,scorpio,vlx,15.5675283
126,mercedes-benz new c-class 200 k at,Kolkata,2009,28352,Petrol,Automatic,First,11.7,1796,178,5,9.35,mercedes-benz,new,c-class 200 k at,49.49
127,maruti wagon r lxi cng,Pune,2013,89900,CNG,Manual,First,26.6,998,58.16,5,3.25,maruti,wagon,r lxi cng,5.39
128,honda cr-v 2.4 mt,Bangalore,2007,47700,Petrol,Manual,Second,10.8,2354,152,5,5.25,honda,cr-v,2.4 mt,11.79582001
129,volkswagen vento 1.5 tdi comfortline at,Pune,2015,55000,Diesel,Automatic,First,21.21,1498,103.2,5,7.25,volkswagen,vento,1.5 tdi comfortline at,13.81375
130,maruti ciaz vxi plus,Kochi,2017,44285,Petrol,Manual,First,20.73,1373,91.1,5,7.47,maruti,ciaz,vxi plus,11.04333333
131,mahindra xuv500 at w10 fwd,Jaipur,2016,54000,Diesel,Automatic,First,16,2179,140,7,13.25,mahindra,xuv500,at w10 fwd,18.865
132,maruti ritz vxi abs,Coimbatore,2016,30232,Petrol,Manual,First,21.1,1197,85.8,5,5.81,maruti,ritz,vxi abs,7.55626867
133,maruti alto k10 vxi,Hyderabad,2014,88500,Petrol,Manual,First,24.07,998,67.1,5,2.6,maruti,alto,k10 vxi,4.53
134,mercedes-benz slc 43 amg,Kolkata,2017,13372,Petrol,Automatic,First,19,2996,362.07,2,54,mercedes-benz,slc,43 amg,95.04
135,hyundai verna vtvt 1.6 at sx plus,Kochi,2019,12645,Petrol,Automatic,First,17,1591,121.3,5,11.5,hyundai,verna,vtvt 1.6 at sx plus,13.49
136,maruti alto lxi bsiii,Chennai,2010,94385,Petrol,Manual,Second,19.7,796,46.3,5,1.6,maruti,alto,lxi bsiii,4.53
137,bmw 1 series 118d base,Coimbatore,2015,31821,Diesel,Automatic,First,20.58,1995,143,5,17.22,bmw,1,series 118d base,63.44220807
138,honda jazz 1.2 v cvt i vtec,Mumbai,2015,12000,Petrol,Automatic,First,19,1199,88.7,5,6,honda,jazz,1.2 v cvt i vtec,9.431666667
139,honda civic 2006-2010 1.8 v mt,Delhi,2012,88578,Petrol,Manual,First,13.5,1799,130,5,3.95,honda,civic,2006-2010 1.8 v mt,11.79582001
140,mercedes-benz new c-class c 220 cdi avantgarde,Kochi,2014,44965,Diesel,Automatic,First,19.27,2143,170,5,17.95,mercedes-benz,new,c-class c 220 cdi avantgarde,49.49
141,honda amaze sx i-dtec,Kolkata,2014,45044,Diesel,Manual,First,25.8,1498,98.6,5,3.7,honda,amaze,sx i-dtec,8.662857143
142,maruti swift vvt vxi,Kochi,2016,34204,Petrol,Manual,First,22,1197,81.8,5,5.43,maruti,swift,vvt vxi,7.56375
143,hyundai santro xing xo erlx euro ii,Kochi,2008,80759,Petrol,Manual,Third,17,1086,91.94537954,5,1.67,hyundai,santro,xing xo erlx euro ii,11.28145047
144,toyota fortuner 3.0 diesel,Coimbatore,2012,91235,Diesel,Manual,First,11.5,2982,171,7,13.49,toyota,fortuner,3.0 diesel,36.548
146,skoda rapid 1.5 tdi elegance,Chennai,2013,83000,Diesel,Manual,First,21.14,1498,103.52,5,4.75,skoda,rapid,1.5 tdi elegance,14.132
147,maruti ciaz 1.4 alpha,Kochi,2018,41283,Petrol,Manual,First,20.73,1373,91.1,5,9.9,maruti,ciaz,1.4 alpha,11.04333333
148,audi rs5 coupe,Mumbai,2013,23000,Petrol,Automatic,First,11.05,2894,444,4,37,audi,rs5,coupe,128
149,bmw 3 series luxury line,Mumbai,2014,48000,Diesel,Automatic,First,21.76,1995,190,5,26.5,bmw,3,series luxury line,60.88
150,audi a4 2.0 tdi 177 bhp premium plus,Coimbatore,2015,48214,Diesel,Automatic,First,17.11,1968,174.33,5,23.32,audi,a4,2.0 tdi 177 bhp premium plus,51.385
151,maruti swift vdi,Chennai,2016,35000,Diesel,Manual,First,22.9,1248,74,5,6.25,maruti,swift,vdi,7.56375
152,mercedes-benz s class 2005 2013 s 500,Kolkata,2010,35277,Petrol,Automatic,First,7.81,5461,362.9,5,30,mercedes-benz,s,class 2005 2013 s 500,63.09554084
153,skoda rapid 1.5 tdi at elegance plus black package,Coimbatore,2016,54620,Diesel,Automatic,First,21.66,1498,103.52,5,9.86,skoda,rapid,1.5 tdi at elegance plus black package,14.132
154,skoda superb elegance 2.0 tdi cr at,Pune,2012,136997,Diesel,Automatic,First,17.2,1968,138.1,5,8.5,skoda,superb,elegance 2.0 tdi cr at,34.36333333
155,hyundai eon magna plus,Kochi,2019,14322,Petrol,Manual,First,21.1,814,55.2,5,4.23,hyundai,eon,magna plus,11.28145047
156,volkswagen polo diesel trendline 1.2l,Jaipur,2012,65634,Diesel,Manual,First,22.07,1199,73.9,5,3.5,volkswagen,polo,diesel trendline 1.2l,9.71375
157,datsun go nxt,Kolkata,2016,6000,Petrol,Manual,First,20.63,1198,67.06,5,2.5,datsun,go,nxt,6.45
158,honda brio s mt,Kolkata,2013,33280,Petrol,Manual,First,19.4,1198,86.8,5,2.39,honda,brio,s mt,6.8825
159,mercedes-benz b class b180,Delhi,2013,29000,Petrol,Automatic,First,14.8,1595,120.7,5,11.25,mercedes-benz,b,class b180,63.09554084
160,honda city i dtec v,Kochi,2015,42831,Diesel,Manual,First,26,1498,98.6,5,7.11,honda,city,i dtec v,14.63571429
161,toyota innova 2.5 g (diesel) 7 seater,Ahmedabad,2016,90000,Diesel,Manual,First,12.99,2494,100.6,7,10.9,toyota,innova,2.5 g (diesel) 7 seater,23.61366667
162,maruti swift vxi optional,Ahmedabad,2017,24005,Petrol,Manual,First,20.4,1197,81.8,5,6.2,maruti,swift,vxi optional,7.56375
163,mahindra xuv500 w8 2wd,Mumbai,2012,32792,Diesel,Manual,First,15.1,2179,140,7,7.9,mahindra,xuv500,w8 2wd,18.865
164,ford ecosport 1.5 dv5 mt ambiente,Kochi,2014,147898,Diesel,Manual,First,22.7,1498,89.84,5,4.42,ford,ecosport,1.5 dv5 mt ambiente,12.10909091
165,toyota fortuner 4x2 manual,Mumbai,2012,131765,Diesel,Manual,First,13,2982,168.5,7,13.5,toyota,fortuner,4x2 manual,36.548
166,volkswagen vento 1.5 highline plus at 16 alloy,Chennai,2013,65000,Diesel,Automatic,First,21.5,1498,108.5,5,6.25,volkswagen,vento,1.5 highline plus at 16 alloy,13.81375
167,ford figo diesel titanium,Jaipur,2010,66123,Diesel,Manual,Second,20,1399,68,5,2.1,ford,figo,diesel titanium,7.65
168,bmw x5 xdrive 30d,Mumbai,2015,41000,Diesel,Automatic,First,15.3,2993,258,5,45,bmw,x5,xdrive 30d,63.44220807
169,mercedes-benz new c-class c 220 cdi style,Coimbatore,2017,23550,Diesel,Automatic,First,19.27,2143,167.62,5,33.66,mercedes-benz,new,c-class c 220 cdi style,49.49
170,honda brio v mt,Bangalore,2012,45000,Petrol,Manual,Second,19.4,1198,86.8,5,3.65,honda,brio,v mt,6.8825
171,hyundai i10 magna 1.2,Delhi,2013,60000,Petrol,Manual,First,20.36,1197,78.9,5,2.75,hyundai,i10,magna 1.2,11.28145047
172,mercedes-benz glc 220,Bangalore,2016,44414,Diesel,Automatic,First,17.9,2143,170,5,42.5,mercedes-benz,glc,220,73.09666667
173,hyundai grand i10 1.2 kappa asta,Kolkata,2019,1000,Petrol,Manual,First,18.9,1197,81.86,5,6.5,hyundai,grand,i10 1.2 kappa asta,7.39
174,audi a6 2011-2015 2.0 tdi premium plus,Mumbai,2012,62500,Diesel,Automatic,Second,17.68,1968,174.33,5,19,audi,a6,2011-2015 2.0 tdi premium plus,62.35666667
175,volkswagen vento petrol highline at,Mumbai,2013,21000,Petrol,Automatic,Second,14.4,1598,103.6,5,4.45,volkswagen,vento,petrol highline at,13.81375
176,mini countryman cooper d,Jaipur,2017,8525,Diesel,Automatic,Second,16.6,1998,112,5,23,mini,countryman,cooper d,41.3777551
177,hyundai i20 asta 1.4 crdi,Bangalore,2014,29000,Diesel,Manual,First,22.54,1396,88.73,5,8.35,hyundai,i20,asta 1.4 crdi,9.74
178,audi a6 2011-2015 2.0 tdi premium plus,Mumbai,2014,40000,Diesel,Automatic,First,17.68,1968,174.33,5,22.95,audi,a6,2011-2015 2.0 tdi premium plus,62.35666667
180,skoda superb elegance 1.8 tsi at,Kochi,2012,53537,Petrol,Automatic,First,13.7,1798,157.75,5,6.89,skoda,superb,elegance 1.8 tsi at,34.36333333
